节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
香缇华苑北,虎丘区,4路,0,0,0
新区实小竹园路校区,虎丘区,4路,0,0,0
名馨花园,虎丘区,4路,0,0,0
明基医院,虎丘区,4路,0,0,0
新区一中,虎丘区,4路,0,0,0
新升新苑南,虎丘区,4路,0,0,0
新区水厂,虎丘区,4路,0,0,0
竹园路金枫路西,吴中区,4路,0,0,0
新华路,吴中区,4路,0,0,0
竹园路金山南路东(招呼站),吴中区,4路,0,0,0
竹园路金山路西,吴中区,4路,0,0,0
经二路,吴中区,4路,0,0,0
竹园路灵天路东,吴中区,4路,0,0,0
天平茶厂,吴中区,4路,0,0,0
木渎高级中学,吴中区,4路,0,0,0
天平山,吴中区,4路,0,0,0
,,,,,
嘉元花园,相城区,5路,0,0,0
相城区人民医院,相城区,5路,0,0,0
元和小学,相城区,5路,0,0,0
万泾花园,相城区,5路,0,0,2
陆慕桥东,相城区,5路,1,1,2
御窑金砖博物馆,相城区,5路,2,1,3
繁花中心,相城区,5路,1,0,3
平门塘大桥南,相城区,5路,0,0,0
万达广场,姑苏区,5路,0,0,0
人民路平河路北,姑苏区,5路,0,0,0
光华桥西,姑苏区,5路,0,0,0
齐门,姑苏区,5路,6,3,11
拙政园苏博(招呼站),姑苏区,5路,6,2,8
苏州博物馆(拙政园、狮子林),姑苏区,5路,11,4,26
市立医院东区东,姑苏区,5路,21,9,44
醋坊桥观前街东,姑苏区,5路,22,8,37
双塔,姑苏区,5路,8,5,25
苏大附一院十梓街院区西,姑苏区,5路,8,3,19
网师园西,姑苏区,5路,11,5,16
网师园,姑苏区,5路,12,5,17
木杏新村,姑苏区,5路,0,0,9
玉兰新村北,姑苏区,5路,1,0,7
南园桥北,姑苏区,5路,1,0,5
翠园新村,姑苏区,5路,1,0,1
汽车南站,姑苏区,5路,0,0,0
迎春路吴中东路,姑苏区,5路,0,0,0
文卫新村,吴中区,5路,0,0,0
姜家桥,吴中区,5路,0,0,0
北巷桥东,吴中区,5路,0,0,0
苏州古玩城,吴中区,5路,0,0,0
东方大道(古玩城)首末站北,吴中区,5路,0,0,0
,,,,,
嘉元花园,相城区,7路,0,0,0
采莲换乘中心,相城区,7路,0,0,0
元和之春,相城区,7路,0,0,0
嘉和丽园,相城区,7路,0,0,0
锦绣江南,相城区,7路,0,0,0
相城区人民医院西,相城区,7路,0,0,0
元和小学,相城区,7路,0,0,0
万泾花园,相城区,7路,1,0,3
陆慕,相城区,7路,3,2,4
宋泾桥北,相城区,7路,0,0,3
宋泾桥南,相城区,7路,0,0,0
南巷,相城区,7路,0,0,0
洋泾塘,姑苏区,7路,0,0,0
江墘路,姑苏区,7路,0,0,0
平河路北,姑苏区,7路,0,0,0
姑苏区行政中心南,姑苏区,7路,0,0,0
苏州旅游集散中心西,姑苏区,7路,2,1,6
苏州站南广场,姑苏区,7路,2,2,6
苏州市康复医院,姑苏区,7路,2,1,8
市立医院北区,姑苏区,7路,8,2,14
山塘街,姑苏区,7路,7,3,11
金阊实验小学,姑苏区,7路,8,5,13
广济桥(石路),姑苏区,7路,6,3,13
爱河桥,姑苏区,7路,7,3,18
小日晖桥北,姑苏区,7路,2,1,9
小日晖桥,姑苏区,7路,1,1,9
胥门,姑苏区,7路,2,1,10
新市桥游船码头,姑苏区,7路,3,3,7
新市桥南,姑苏区,7路,5,1,9
解放桥北(招呼站),姑苏区,7路,4,1,7
盘溪新村,姑苏区,7路,0,0,0
水香六村,吴中区,7路,0,0,0
盘蠡路吴中西路南,吴中区,7路,0,0,0
盘蠡路宝带西路南,吴中区,7路,0,0,0
盘蠡路宝带西路北,吴中区,7路,0,0,0
新家桥,吴中区,7路,0,0,0
嘉福桥,吴中区,7路,0,0,0
苏蠡花园,吴中区,7路,0,0,0
跃进桥,吴中区,7路,0,0,0
蠡墅,吴中区,7路,0,0,0
复兴桥,吴中区,7路,0,0,0
苏蠡路彭泾,吴中区,7路,0,0,0
彭泾,吴中区,7路,0,0,0
蠡墅立交,吴中区,7路,0,0,0
,,,,,
金筑实验小学校,姑苏区,8路,0,0,1
