前一节点,后一节点,线路名称,票价,区域属性,间距(km)
金鸡湖大道西,东振路西,4路,2,姑苏区,
东振路西,杨枝塘东,4路,2,姑苏区,
杨枝塘东,南环桥,4路,2,姑苏区,
南环桥,汽车南站广场,4路,2,姑苏区,
汽车南站广场,南环新村,4路,2,姑苏区,
南环新村,团结桥东,4路,2,姑苏区,
团结桥东,团结桥西,4路,2,姑苏区,
团结桥西,大龙港新村,4路,2,姑苏区,
大龙港新村,盘溪新村,4路,2,姑苏区,
盘溪新村,解放新村,4路,2,姑苏区,
解放新村,友新新村,4路,2,姑苏区,
友新新村,桐泾公园,4路,2,姑苏区,
桐泾公园,胥江路,4路,2,姑苏区,
胥江路,桐泾南路,4路,2,姑苏区,
桐泾南路,象牙新村,4路,2,姑苏区,
象牙新村,索山桥东,4路,2,姑苏区,
索山桥东,赛格电子市场,4路,2,姑苏区,
赛格电子市场,香缇华苑北,4路,2,虎丘区,
香缇华苑北,新区实小竹园路校区,4路,2,虎丘区,
新区实小竹园路校区,名馨花园,4路,2,虎丘区,
名馨花园,明基医院,4路,2,虎丘区,
明基医院,新区一中,4路,2,虎丘区,
新区一中,新升新苑南,4路,2,虎丘区,
新升新苑南,新区水厂,4路,2,虎丘区,
新区水厂,竹园路金枫路西,4路,2,虎丘区,
竹园路金枫路西,新华路,4路,2,吴中区,
新华路,竹园路金山南路东(招呼站),4路,2,吴中区,
竹园路金山南路东(招呼站),竹园路金山路西,4路,2,吴中区,
竹园路金山路西,经二路,4路,2,吴中区,
经二路,竹园路灵天路东,4路,2,吴中区,
竹园路灵天路东,天平茶厂,4路,2,吴中区,
天平茶厂,木渎高级中学,4路,2,吴中区,
木渎高级中学,天平山,4路,2,吴中区,
,,,,,
嘉元花园,相城区人民医院,5路,2,相城区,
相城区人民医院,元和小学,5路,2,相城区,
元和小学,万泾花园,5路,2,相城区,
万泾花园,陆慕桥东,5路,2,相城区,
陆慕桥东,御窑金砖博物馆,5路,2,相城区,
御窑金砖博物馆,繁花中心,5路,2,相城区,
繁花中心,平门塘大桥南,5路,2,相城区,
平门塘大桥南,万达广场,5路,2,相城区,
万达广场,人民路平河路北,5路,2,姑苏区,
人民路平河路北,光华桥西,5路,2,姑苏区,
光华桥西,齐门,5路,2,姑苏区,
齐门,拙政园苏博(招呼站),5路,2,姑苏区,
拙政园苏博(招呼站),苏州博物馆(拙政园、狮子林),5路,2,姑苏区,
苏州博物馆(拙政园、狮子林),市立医院东区东,5路,2,姑苏区,
市立医院东区东,醋坊桥观前街东,5路,2,姑苏区,
醋坊桥观前街东,双塔,5路,2,姑苏区,
双塔,苏大附一院十梓街院区西,5路,2,姑苏区,
苏大附一院十梓街院区西,网师园西,5路,2,姑苏区,
网师园西,网师园,5路,2,姑苏区,
网师园,木杏新村,5路,2,姑苏区,
木杏新村,玉兰新村北,5路,2,姑苏区,
玉兰新村北,南园桥北,5路,2,姑苏区,
南园桥北,翠园新村,5路,2,姑苏区,
翠园新村,汽车南站,5路,2,姑苏区,
汽车南站,迎春路吴中东路,5路,2,姑苏区,
迎春路吴中东路,文卫新村,5路,2,姑苏区,
文卫新村,姜家桥,5路,2,吴中区,
姜家桥,北巷桥东,5路,2,吴中区,
北巷桥东,苏州古玩城,5路,2,吴中区,
苏州古玩城,东方大道(古玩城)首末站北,5路,2,吴中区,
,,,,,
嘉元花园,采莲换乘中心,7路,2,相城区,
采莲换乘中心,元和之春,7路,2,相城区,
元和之春,嘉和丽园,7路,2,相城区,
嘉和丽园,锦绣江南,7路,2,相城区,
锦绣江南,相城区人民医院西,7路,2,相城区,
相城区人民医院西,元和小学,7路,2,相城区,
元和小学,万泾花园,7路,2,相城区,
万泾花园,陆慕,7路,2,相城区,
陆慕,宋泾桥北,7路,2,相城区,
宋泾桥北,宋泾桥南,7路,2,相城区,
宋泾桥南,南巷,7路,2,相城区,
南巷,洋泾塘,7路,2,相城区,
洋泾塘,江墘路,7路,2,姑苏区,
江墘路,平河路北,7路,2,姑苏区,
平河路北,姑苏区行政中心南,7路,2,姑苏区,
姑苏区行政中心南,苏州旅游集散中心西,7路,2,姑苏区,
苏州旅游集散中心西,苏州站南广场,7路,2,姑苏区,
苏州站南广场,苏州市康复医院,7路,2,姑苏区,
苏州市康复医院,市立医院北区,7路,2,姑苏区,
市立医院北区,山塘街,7路,2,姑苏区,
山塘街,金阊实验小学,7路,2,姑苏区,
