节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
淮塔北门,泉山区,旅游公交专线内环,3,1,5
淮塔南门,泉山区,旅游公交专线内环,2,1,5
大学城,泉山区,旅游公交专线内环,0,0,0
营房西门,泉山区,旅游公交专线内环,0,0,1
泉山森林公园,泉山区,旅游公交专线内环,1,0,0
茶棚,泉山区,旅游公交专线内环,0,0,0
金山村,泉山区,旅游公交专线内环,0,0,0
南湖水街,泉山区,旅游公交专线内环,0,0,0
天师广场,泉山区,旅游公交专线内环,0,0,0
望湖阁游客中心,泉山区,旅游公交专线内环,0,0,0
徐州乐园,泉山区,旅游公交专线内环,0,0,0
,,,,,
铜山新区总站,铜山区,11路,0,0,0
铜山区政府,铜山区,11路,0,0,0
铜山交通局,铜山区,11路,0,0,0
郑集中学城区分校,铜山区,11路,0,0,0
铜山二堡,铜山区,11路,0,0,0
徐州农商银行,铜山区,11路,0,0,0
港鑫城,铜山区,11路,0,0,0
玉泉河地铁站,铜山区,11路,0,0,0
万科新都会,铜山区,11路,0,0,0
铜山万达,铜山区,11路,0,0,0
医药高职校,铜山区,11路,0,0,0
翟山地铁站,泉山区,11路,0,0,0
翟山,泉山区,11路,0,0,0
三环南路地铁站(北京路),泉山区,11路,0,0,0
矿业大学,泉山区,11路,0,0,0
科技广场,泉山区,11路,0,0,0
侯山窝,泉山区,11路,2,1,5
奎园西门,泉山区,11路,3,2,6
纪念塔,泉山区,11路,4,1,5
市四院,泉山区,11路,2,1,4
南京银行,泉山区,11路,0,0,5
师大北门,泉山区,11路,6,3,12
中医院,泉山区,11路,8,2,14
中山饭店,泉山区,11路,5,2,7
中山南路(中枢街),鼓楼区,11路,5,3,11
供销大厦,鼓楼区,11路,5,1,7
万虹桥电子市场,云龙区,11路,5,2,11
徐州站,云龙区,11路,0,0,1
,,,,,
文化宫,云龙区,17路,5,2,9
彭城广场,鼓楼区,17路,3,1,7
金帝商都,鼓楼区,17路,2,0,6
夹河街东口,泉山区,17路,2,2,5
第一中学,泉山区,17路,2,1,5
徐州博爱口腔医院,泉山区,17路,1,1,2
黄河新村,泉山区,17路,0,0,0
合群桥,泉山区,17路,0,0,0
合群新村,泉山区,17路,0,0,0
沈场市场,泉山区,17路,0,0,0
华润小区,鼓楼区,17路,0,0,0
豪绅嘉苑,鼓楼区,17路,0,0,1
三新庄,鼓楼区,17路,2,1,1
机修厂,鼓楼区,17路,1,0,1
中煤四处,鼓楼区,17路,0,0,1
四处四院,鼓楼区,17路,0,0,1
四处东苑,鼓楼区,17路,0,0,1
万科城,鼓楼区,17路,0,0,0
万科城北,鼓楼区,17路,0,0,0
天齐,鼓楼区,17路,0,0,0
九里新苑(天齐北路),鼓楼区,17路,0,0,0
杨屯中(小)学,鼓楼区,17路,0,0,0
杨屯,鼓楼区,17路,0,0,0
周屯,鼓楼区,17路,0,0,0
大周屯,鼓楼区,17路,0,0,0
,,,,,
淮西客运站,泉山区,18路,0,0,0
市中级法院,泉山区,18路,0,0,0
公交修造厂,泉山区,18路,0,0,0
湖滨新村西,泉山区,18路,0,0,0
湖滨新村,泉山区,18路,0,0,0
湖滨路口(湖滨路),泉山区,18路,0,0,0
段庄(二环西路),泉山区,18路,0,0,0
煤建西路,泉山区,18路,0,0,0
矿物局南,泉山区,18路,0,0,0
永安广场,泉山区,18路,3,0,3
市二院南,泉山区,18路,5,2,6
解放桥,泉山区,18路,5,0,13
云龙医院,云龙区,18路,9,3,13
建国小区,云龙区,18路,4,1,11
宣武市场(建国东路),云龙区,18路,2,0,6
天桥东,云龙区,18路,0,0,0
王杰部队,云龙区,18路,0,0,0
九七医院,云龙区,18路,0,0,0
铜山路口,云龙区,18路,0,0,0
黄山市场,云龙区,18路,0,0,0
黄山新村,云龙区,18路,0,0,0
黄山新村东,云龙区,18路,0,0,0
民祥园路,云龙区,18路,0,0,0
云龙区政府西,云龙区,18路,0,0,0
云龙区政府,云龙区,18路,0,0,0
和平妇产医院(香溪路),云龙区,18路,0,0,0
尚仕名邸,云龙区,18路,0,0,0
,,,,,
苹果汇邻湾,鼓楼区,19路,0,0,0
轻工路口,鼓楼区,19路,0,0,0
电力医院,鼓楼区,19路,0,0,0
堤北农贸市场,鼓楼区,19路,0,0,0
堤北,鼓楼区,19路,0,0,0
爱牙医院,鼓楼区,19路,0,0,0
民主路小学,鼓楼区,19路,3,3,3
苏宁广场东,鼓楼区,19路,6,0,13
户部山地铁站,云龙区,19路,11,3,13
戏马台,云龙区,19路,6,1,10
南京银行,云龙区,19路,0,0,5
市四院,泉山区,19路,2,1,4
纪念塔,泉山区,19路,4,1,5
奎园西门,泉山区,19路,3,2,6
侯山窝,泉山区,19路,2,1,5
矿业大学,泉山区,19路,0,0,0
三环南路地铁站(北京路),泉山区,19路,0,0,0
翟山,泉山区,19路,0,0,0
翟山地铁站,泉山区,19路,0,0,0
铜山中学,铜山区,19路,0,0,0
建筑学院(上海路口),铜山区,19路,0,0,0
江苏师范大学,铜山区,19路,0,0,0
师范学校,铜山区,19路,0,0,0
新区邮电局,铜山区,19路,0,0,0
新区国税局,铜山区,19路,0,0,0
铜山中医院,铜山区,19路,0,0,0
康乐园,铜山区,19路,0,0,0
科技创业大厦,铜山区,19路,0,0,0
铜山区政府(长江西路),铜山区,19路,0,0,0
万和佳苑,铜山区,19路,0,0,0
嵩山路,铜山区,19路,0,0,0
铜山新区总站,铜山区,19路,0,0,0
,,,,,
徐州站,云龙区,20路,0,0,1
万虹桥电子市场,云龙区,20路,5,2,11
民主南路,云龙区,20路,6,0,9
建国小区,云龙区,20路,4,1,11
户部山地铁站,云龙区,20路,11,3,13
戏马台,云龙区,20路,6,1,11
南京银行,云龙区,20路,0,0,5
市四院,泉山区,20路,2,1,4
纪念塔,泉山区,20路,4,1,5
奎园北门,泉山区,20路,2,0,4
农副产品市场,泉山区,20路,0,0,0
陶瓷市场,泉山区,20路,0,0,0
东盛汽车城,泉山区,20路,0,0,0
淮海文博园,泉山区,20路,0,0,1
御景湾小区,泉山区,20路,0,0,0
百果园地铁站,泉山区,20路,0,0,0
三环南路(长安路),泉山区,20路,0,0,0
三环南路(奎河路),泉山区,20路,0,0,0
矿大南门,泉山区,20路,0,0,0
三环南路地铁站,泉山区,20路,0,0,0
风华园,泉山区,20路,0,0,0
风华园公交站,泉山区,20路,0,0,0
,,,,,
郭庄路停保场,云龙区,605路,0,0,0
树人中学云龙校区,云龙区,605路,0,0,0
四季雅园,云龙区,605路,0,0,0
康馨园东,云龙区,605路,0,0,0
绿地世纪城,云龙区,605路,0,0,0
铁路民祥园(汉城口腔医院),云龙区,605路,0,0,0
民富园,云龙区,605路,0,0,0
民富园西门,云龙区,605路,0,0,0
三环路口,云龙区,605路,0,0,0
民富园路口,云龙区,605路,2,1,3
楚王陵,云龙区,605路,0,0,2
强华骨科医院,云龙区,605路,0,0,2
骆驼山桥,云龙区,605路,0,0,1
徐州附三院,云龙区,605路,0,0,0
袁桥,云龙区,605路,2,1,6
恩华大厦,云龙区,605路,1,1,8
民主南路,云龙区,605路,6,0,9
