节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
铁道医院,,10路,0
二环路斗门,,10路,1
电建二公司,,10路,1
省老年医院,,10路,0
证照中心,,10路,0
屏山公园,,10路,3
长冠城,,10路,1
屏西,,10路,0
铜盘路,,10路,2
省高院,,10路,2
梅峰支路,,10路,0
梅峰路,,10路,2
茶园山,,10路,0
柳桥,,10路,0
福屿天桥,,10路,0
黎明,,10路,0
市教院附中,,10路,1
菏泽,,10路,2
宝龙城市广场,,10路,1
工业路白马路口,,10路,2
博美诗邦,,10路,0
省人民医院,,10路,2
文化宫,,10路,3
中亭街,,10路,5
台江医院,,10路,3
闽江之心(台州步行街),,10路,1
排尾,,10路,0
亚峰,,10路,0
排尾路长乐南路口,,10路,0
亚峰农贸市场,,10路,0
鳌峰大桥,,10路,0
金融街万达广场,,10路,0
鳌峰亚兴路口,,10路,0
鱼池,,10路,0
鳌峰公园,,10路,0
公交鳌峰洲站,,10路,0
鳌峰公交总站,,10路,0
,,,
公交鹤林站,,11路,0
鹤林新城,,11路,0
省二人民医院二化分院,,11路,2
三角池,,11路,1
福州锅炉厂原址,,11路,4
塔头,,11路,1
东水路口,,11路,0
八方大厦,,11路,0
仙塔街,,11路,4
格致中学,,11路,7
协和医院,,11路,8
南门,,11路,6
茶亭,,11路,0
洋头口,,11路,0
省人民医院,,11路,4
文化宫西门,,11路,2
洋中亭,,11路,4
马口,,11路,5
福四中,,11路,5
上渡,,11路,0
竹揽,,11路,2
洋洽,,11路,0
省精神卫生中心,,11路,1
市第四医院,,11路,1
建新南路,,11路,1
海峡奥体公交枢纽站,,11路,2
,,,
公交苍霞站,,3路,3
苍霞新城,,3路,7
青年广场,,3路,5
中亭街,,3路,5
达道,,3路,4
地铁达道站,,3路,2
闽江之心(台州步行街),,3路,1
排尾,,3路,0
亚峰,,3路,0
排尾路长乐南路口,,3路,0
亚峰农贸市场,,3路,0
龙福机电交易市场,,3路,0
高湖村,,3路,0
盖山镇政府新村,,3路,0
则徐广场,,3路,0
后坂,,3路,0
地铁葫芦阵,,3路,0
葫芦阵南,,3路,0
黄山,,3路,3
福建省地质医院,,3路,3
排下,,3路,0
城门三丰,,3路,1
大浦路西,,3路,2
杜园,,3路,2
闽江局,,3路,1
螺洲泰禾福州院子,,3路,2
螺洲店前,,3路,2
,,,
秀宅路,,12路,2
祥浦苑,,12路,1
观澜云著A区,,12路,0
江边新苑,,12路,0
雁头,,12路,0
雁头路西,,12路,0
仓山区检察院,,12路,0
先峰幼儿园,,12路,2
仓山步行街,,12路,3
十棉祠,,12路,4
桥南,,12路,4
观井,,12路,3
中洲岛,,12路,4
中亭街,,12路,5
学军路,,12路,3
马口,,12路,5
河下路,,12路,4
浦西社区,,12路,3
德榜路新兴路口,,12路,4
尤溪洲(东)停车场,,12路,1
,,,
金山工业区台江园,,13路,0
橘园洲仓山园,,13路,0
花溪北路,,13路,0
金山大道口,,13路,0
融信第一城,,13路,0
洪湾路口,,13路,0
上雁路口,,13路,0
金祥路口(后曹村),,13路,0
金祥路金洲路口,,13路,0
福州金山中学,,13路,0
榕城广场,,13路,0
金山新华图书城,,13路,0
上浦路口,,13路,0
福祥社区,,13路,1
祥坂路口,,13路,1
省血液中心,,13路,0
福建海事局,,13路,0
长寿社,,13路,3
帮洲,,13路,3
苍霞新城,,13路,7
青年广场,,13路,4
闽江之心(台州步行街),,13路,1
排尾,,13路,0
亚峰,,13路,0
排尾路长乐南路口,,13路,0
亚峰农贸市场,,13路,0
鳌峰大桥,,13路,0
金融街万达广场,,13路,0
鳌峰亚兴路口,,13路,0
鱼池,,13路,0
鳌峰公园,,13路,0
公交鳌峰站,,13路,0
鳌峰洲公交总站,,13路,0
,,,
软件园鲲鹏大厦,,14路,0
文山里,,14路,1
文山里泵站,,14路,1
福建工贸学校,,14路,0
原厝,,14路,0
国光公园,,14路,1
福道6号口,,14路,3
洪山桥,,14路,2
物构所,,14路,1
天骏小区,,14路,0
福大北门,,14路,0
凤凰池,,14路,0
福大东门,,14路,4
西禅寺,,14路,4
闽江学院工业路校区,,14路,1
福祥社区,,14路,1
祥坂路口,,14路,1
宝龙城市广场,,14路,1
工业路白马路口,,14路,2
博美诗邦,,14路,1
安淡,,14路,3
打铁垱,,14路,3
十四桥,,14路,4
安平小区,,14路,3
闽江之心(台州步行街),,14路,1
桥南,,14路,3
仓山步行街,,14路,3
先锋幼儿园,,14路,0
仓山区检察院,,14路,1
龙福机电交易市场,,14路,0
高湖村,,14路,0
盖山镇政府新村,,14路,0
则徐广场,,14路,0
白湖亭,,14路,0
,,,
淮安公交总站,,15路,1
淮安高沙,,15路,0
淮安上下店路口,,15路,0
福建理工学校,,15路,0
农大社区,,15路,0
农林大学,,15路,0
福建建筑学校,,15路,0
洪塘地铁站,,15路,1
旭辉左海岸(阵坂),,15路,0
西山,,15路,0
金山开发区,,15路,0
天翔发展,,15路,2
马榕地铁站,,15路,1
瑞达电子,,15路,0
北京金山,,15路,0
上浦路口,,15路,0
福祥社区,,15路,1
祥坂路口,,15路,1
宝龙城市广场,,15路,1
工业路白马路口,,15路,2
博美诗邦,,15路,1
省人民医院,,15路,4
文化宫,,15路,3
学军路东,,15路,4
市一医院,,15路,4
十四桥,,15路,4
安平小区,,15路,3
闽江之心(台州步行街),,15路,1
排尾,,15路,0
亚峰,,15路,0
排尾路长乐南路口,,15路,0
亚峰农贸市场,,15路,0
鳌峰大桥,,15路,0
金融街万达广场,,15路,0
鳌峰亚兴路口,,15路,0
鱼池,,15路,0
鳌峰公园,,15路,0
公交鳌峰站,,15路,0
鳌峰洲公交总站,,15路,0
,,,
洪山梁厝路口,,16路,2
福道6号口,,16路,1
洪山桥,,16路,1
物构所,,16路,1
天骏小区,,16路,1
福大北门,,16路,0
茶园山,,16路,0
柳桥,,16路,0
陆庄,,16路,2
高峰桥,,16路,2
省话剧院,,16路,5
福二中,,16路,3
福州市政府,,16路,8
乌山路口,,16路,7
于山,,16路,6
水部,,16路,3
古田六一路口,,16路,1
紫阳,,16路,2
乐西(东),,16路,3
讲堂前,,16路,2
世欧广场,,16路,3
象园街道,,16路,4
市青少年活动中心,,16路,2
福州市老年大学,,16路,0
长乐南路,,16路,0
亚峰农贸市场,,16路,0
鳌峰大桥,,16路,0
金融街万达广场,,16路,0
鳌峰亚兴路口,,16路,0
鱼池,,16路,0
鳌峰公园,,16路,0
公交鳌峰洲站,,16路,0
鳌峰公交总站,,16路,0
,,,
埔党路口,,17路,0
山北东园,,17路,0
居住主题公园,,17路,0
山北井店,,17路,0
解放溪,,17路,0
秀山村,,17路,1
地铁秀山站,,17路,1
高佳苑,,17路,1
郭前路口,,17路,0
新店镇政府,,17路,0
电建二公司,,17路,1
华林高架,,17路,1
湖塍,,17路,0
洋下新村,,17路,2
东门村委,,17路,1
塔头,,17路,1
福州锅炉厂原址,,17路,4
东岳,,17路,2
福新支路,,17路,2
长乐北路口,,17路,0
乐西(东),,17路,3
讲堂前,,17路,2
世欧广场,,17路,3
象园街道,,17路,4
市青少年活动中心,,17路,2
福州市老年大学,,17路,0
长乐南路,,17路,0
亚峰农贸市场,,17路,0
龙福机电交易市场,,17路,0
高湖村,,17路,0
盖山镇政府新村,,17路,0
则徐广场,,17路,0
白湖亭,,17路,0
,,,
火车站南广场,,18路,0
茶园,,18路,2
电建二公司,,18路,1
省老年医院,,18路,0
省老干局,,18路,0
省农科院,,18路,0
屏东,,18路,4
屏山,,18路,1
省卫健委,,18路,3
鼓楼,,18路,6
省话剧院,,18路,5
福二中,,18路,3
乌山小学,,18路,4
小柳路南,,18路,2
乌山桥西,,18路,0
市教院附中,,18路,0
菏泽,,18路,2
省血液中心,,18路,0
福建海事局,,18路,0
东南眼科,,18路,0
江南水都中学,,18路,0
燎原路,,18路,0
联建村,,18路,1
福建生态工程学校(洋洽),,18路,1
省精神卫生中心,,18路,1
市妇幼保健院,,18路,0
福建神学院,,18路,0
时代华威中学,,18路,0
福湾财贸服装城,,18路,0
育达学校,,18路,0
国艺花鸟市场,,18路,0
山道,,18路,1
盘屿中学,,18路,2
齐安路,,18路,0
利嘉汽配城,,18路,0
仁山路利嘉国际商业城,,18路,0
,,,
满洋新秀,,19路,0
中央公园,,19路,0
满洋路,,19路,0
象峰中心小学,,19路,0
五四北泰禾广场,,19路,0
秀山村,,19路,2
地铁秀山站,,19路,2
高佳苑,,19路,1
三盛果岭,,19路,0
稻田创业小镇,,19路,0
省老年体育中心,,19路,0
南平东路口,,19路,2
浮村,,19路,2
湖前,,19路,0
魁炉头,,19路,1
源脉温泉,,19路,3
龙腰,,19路,3
北门,,19路,3
屏山,,19路,1
省卫健委,,19路,3
鼓楼,,19路,6
东街口,,19路,6
蒙古营,,19路,3
龙华天桥,,19路,6
正大广场,,19路,1
状元境,,19路,2
汽车站,,19路,3
安淡,,19路,3
省人民医院,,19路,4
文化宫,,19路,3
中亭街,,19路,5
青年广场,,19路,4
蓬埕,,19路,6
帮洲,,19路,3
长寿社,,19路,3
尤溪洲(东)停车场,,19路,1
,,,
火车站南广场,,20路,0
茶园,,20路,2
电建二公司,,20路,1
华林高架,,20路,0
地铁斗门,,20路,0
华林四桥,,20路,0
省农行,,20路,0
屏东,,20路,4
屏山,,20路,1
