前一节点,后一节点,线路名称,票价(元),间距(公里)
闽江学院工业路校区,福祥社区,27路,1,
福祥社区,祥坂路口,27路,1,
祥坂路口,宝龙城市广场,27路,1,
宝龙城市广场,白马河,27路,1,
白马河,上海街道,27路,1,
上海街道,斗池,27路,1,
斗池,乌山小学,27路,1,
乌山小学,福二中,27路,1,
福二中,省话剧院,27路,1,
省话剧院,双抛桥站(2号侯车楼),27路,1,
双抛桥站(2号侯车楼),旗汛口,27路,1,
旗汛口,八方大厦,27路,1,
八方大厦,东水路口,27路,1,
东水路口,东门,27路,1,
东门,省彩印厂,27路,1,
省彩印厂,晋安区委,27路,1,
晋安区委,福新东路,27路,1,
福新东路,金晖新村,27路,1,
金晖新村,地铁五里亭站,27路,1,
地铁五里亭站,肿瘤医院,27路,1,
肿瘤医院,前屿,27路,1,
前屿,前横路红光路口,27路,1,
前横路红光路口,后屿路口,27路,1,
后屿路口,警官学院,27路,1,
警官学院,福新公交枢纽站,27路,1,
,,,,
新厦二区社区,幸福城小区,28路,1,
幸福城小区,新店,28路,1,
新店,浮村,28路,1,
浮村,琴亭路西,28路,1,
琴亭路西,琴亭高架桥,28路,1,
琴亭高架桥,琴亭,28路,1,
琴亭,怡馨苑,28路,1,
怡馨苑,西园,28路,1,
西园,火车站南广场,28路,1,
火车站南广场,茶园,28路,1,
茶园,电建二公司,28路,1,
电建二公司,铁道医院,28路,1,
铁道医院,省二人民医院二化分院,28路,1,
省二人民医院二化分院,万事利花园,28路,1,
万事利花园,福新东路,28路,1,
福新东路,金晖新村,28路,1,
金晖新村,双坂,28路,1,
双坂,光明桥,28路,1,
光明桥,龙福机电交易市场,28路,1,
龙福机电交易市场,高湖村,28路,1,
高湖村,盖山镇政府新村,28路,1,
盖山镇政府新村,则徐广场,28路,1,
则徐广场,白湖亭,28路,1,
白湖亭,后坂,28路,1,
,,,,
金牛山公园,西河,29路,1,
西河,锦江园,29路,1,
锦江园,融侨锦江,29路,1,
融侨锦江,望龙台,29路,1,
望龙台,省广电中心,29路,1,
省广电中心,长寿社,29路,1,
长寿社,帮洲,29路,1,
帮洲,蓬埕,29路,1,
蓬埕,青年广场,29路,1,
青年广场,安平小区,29路,1,
安平小区,打铁垱,29路,1,
打铁垱,南公园,29路,1,
南公园,象园头,29路,1,
象园头,象园(长乐路口),29路,1,
象园(长乐路口),连潘,29路,1,
连潘,福州电视中心,29路,1,
福州电视中心,融侨东区,29路,1,
融侨东区,三木小区,29路,1,
三木小区,三木都市田园,29路,1,
三木都市田园,流星东景小区,29路,1,
流星东景小区,盛天现代城(前屿村),29路,1,
盛天现代城(前屿村),恒宇国际公园,29路,1,
恒宇国际公园,远洋,29路,1,
远洋,磨洋河,29路,1,
磨洋河,廨院小学,29路,1,
廨院小学,省革命历史纪念馆,29路,1,
省革命历史纪念馆,鼓山公交总站,29路,1,
,,,,
台江广场,闽江之心(台州步行街),30路,2,
闽江之心(台州步行街),桥南,30路,2,
桥南,埔顶,30路,2,
埔顶,龙津,30路,2,
龙津,三叉街,30路,2,
三叉街,三叉街新村,30路,2,
三叉街新村,则徐大道盖山路口,30路,2,
则徐大道盖山路口,后坂,30路,2,
后坂,地铁葫芦阵,30路,2,
地铁葫芦阵,葫芦阵南,30路,2,
葫芦阵南,黄山,30路,2,
黄山,福建省地质医院,30路,2,
福建省地质医院,排下,30路,2,
排下,城门三丰,30路,2,
城门三丰,城门,30路,2,
城门,前锦,30路,2,
前锦,三角埕,30路,2,
三角埕,温墩,30路,2,
温墩,胪雷亭,30路,2,
胪雷亭,石步,30路,2,
石步,浚边,30路,2,
浚边,三江路口,30路,2,
三江路口,峡南,30路,2,
峡南,建华管桩,30路,2,
建华管桩,枕峰,30路,2,
枕峰,祥谦陵园,30路,2,
祥谦陵园,泮洋村,30路,2,
泮洋村,尚干,30路,2,
尚干,尚干首末站,30路,2,
,,,,
动物园,金城工业区,117路,1,
金城工业区,西庄小区,117路,1,
西庄小区,西庄崇安路口,117路,1,
西庄崇安路口,新店医院,117路,1,
新店医院,南平西路,117路,1,
南平西路,浮村,117路,1,
浮村,琴亭路西,117路,1,
琴亭路西,方圆大厦,117路,1,
方圆大厦,琴湖小区,117路,1,
琴湖小区,省体育中心,117路,1,
省体育中心,省老干局,117路,1,
省老干局,省农科院,117路,1,
省农科院,树兜,117路,1,
树兜,古三座,117路,1,
古三座,七星井,117路,1,
七星井,开元寺,117路,1,
开元寺,尚宾路口,117路,1,
尚宾路口,南街,117路,1,
南街,道山路口,117路,1,
道山路口,乌山路口,117路,1,
乌山路口,福州市政府,117路,1,
福州市政府,白马河公园,117路,1,
白马河公园,上海街道,117路,1,
上海街道,白马河,117路,1,
白马河,宝龙城市广场,117路,1,
宝龙城市广场,省血液中心,117路,1,
省血液中心,福建海事局,117路,1,
福建海事局,尤溪洲桥头,117路,1,
尤溪洲桥头,金港路口,117路,1,
金港路口,浦上开发区协盛装饰大楼,117路,1,
浦上开发区协盛装饰大楼,浦上工业区,117路,1,
浦上工业区,建新杨周路口,117路,1,
建新杨周路口,桔园三期,117路,1,
桔园三期,金山公交中心停车场,117路,1,
金山公交中心停车场,金山浦上公交枢纽站,117路,1,
,,,,
白水塘,江厝路口,145路,1,
江厝路口,魁炉头,145路,1,
魁炉头,华屏路,145路,1,
华屏路,华林路口,145路,1,
华林路口,屏山,145路,1,
屏山,省卫健委,145路,1,
省卫健委,福三中,145路,1,
福三中,省物价局,145路,1,
省物价局,华大,145路,1,
华大,三角井,145路,1,
三角井,铜盘河,145路,1,
铜盘河,省消防支队,145路,1,
省消防支队,省档案馆,145路,1,
省档案馆,屏西商场,145路,1,
屏西商场,屏西新村北门,145路,1,
,,,,
火车站北广场,罗汉山隧道西,159路,1,
罗汉山隧道西,琴亭环岛(西),159路,1,
琴亭环岛(西),湖前,159路,1,
湖前,魁炉头,159路,1,
魁炉头,源脉温泉,159路,1,
源脉温泉,龙腰,159路,1,
龙腰,北门,159路,1,
北门,屏山,159路,1,
屏山,省林业局,159路,1,
省林业局,北院巷,159路,1,
北院巷,赛月亭,159路,1,
赛月亭,七星井,159路,1,
七星井,庆城,159路,1,
庆城,仙塔街,159路,1,
仙塔街,格致中学,159路,1,
格致中学,协和医院,159路,1,
协和医院,南门,159路,1,
南门,公交仁德站,159路,1,
,,,,
满洋新秀,中央公园,111路,1,
中央公园,满洋路,111路,1,
满洋路,象峰学校,111路,1,
象峰学校,五四北泰禾广场,111路,1,
五四北泰禾广场,秀山村,111路,1,
秀山村,地铁秀山站,111路,1,
地铁秀山站,高佳苑,111路,1,
高佳苑,三盛果岭,111路,1,
三盛果岭,稻田创业小镇,111路,1,
稻田创业小镇,省老年体育中心,111路,1,
省老年体育中心,南平东路口,111路,1,
南平东路口,浮村,111路,1,
浮村,湖前,111路,1,
湖前,魁炉头,111路,1,
魁炉头,源脉温泉,111路,1,
源脉温泉,龙腰,111路,1,
龙腰,北门,111路,1,
北门,华大,111路,1,
华大,省物价局,111路,1,
省物价局,西湖,111路,1,
西湖,西门,111路,1,
西门,高峰桥,111路,1,
高峰桥,陆庄,111路,1,
陆庄,柳桥,111路,1,
柳桥,茶园山,111路,1,
茶园山,福大北门,111路,1,
福大北门,天骏小区,111路,1,
天骏小区,物构所,111路,1,
物构所,洪山桥,111路,1,
洪山桥,郭厝里,111路,1,
郭厝里,洪塘地铁站,111路,1,
洪塘地铁站,旭辉左海岸(阵坂),111路,1,
旭辉左海岸(阵坂),正祥香槟风范,111路,1,
正祥香槟风范,金塘路,111路,1,
金塘路,金榕北路,111路,1,
金榕北路,金达路口,111路,1,
金达路口,市人才储备中心,111路,1,
市人才储备中心,榕城广场,111路,1,
榕城广场,福州金山中学,111路,1,
福州金山中学,金祥路金洲路口,111路,1,
金祥路金洲路口,金洲南路金山地铁站,111路,1,
金洲南路金山地铁站,金山公交总站,111路,1,
,,,,
正大广场,福建省科技馆北门,五一中路,1,
福建省科技馆北门,龙华天桥,五一中路,1,
,,,,
梅峰宾馆,省高院,23路,1,
省高院,左海公园,23路,1,
,,,,
北院巷,屏东,观风亭街,1,
屏东,华林路口,观风亭街,1,
华林路口,赛月亭,观风亭街,1,
,,,,
源脉温泉,屏山公园,龙腰立交桥,1,
屏山公园,华屏路,华屏路,1,
,,,,
于山,福建省科技馆北门,五一大道,1,
福建省科技馆北门,水部,五一大道,1,
,,,,
火车站北广场,水头,133路,1,
水头,湖塍,133路,1,
湖塍,洋下新村,133路,1,
洋下新村,东门村委,133路,1,
东门村委,东水路口,133路,1,
东水路口,八方大厦,133路,1,
八方大厦,蒙古营,133路,1,
蒙古营,龙华天桥,133路,1,
龙华天桥,五一广场,133路,1,
五一广场,南门,133路,1,
南门,茶亭,133路,1,
茶亭,洋头口,133路,1,
洋头口,博美诗邦,133路,1,
博美诗邦,双浦头,133路,1,
双浦头,宝龙·城市广场,133路,1,
宝龙·城市广场,省血液中心,133路,1,
省血液中心,福建海事局,133路,1,
福建海事局,尤溪洲桥头,133路,1,
尤溪洲桥头,仓山万达广场,133路,1,
仓山万达广场,浦上大道地铁站,133路,1,
浦上大道地铁站,金洲浦上路口,133路,1,
金洲浦上路口,凤岗里地铁站,133路,1,
凤岗里地铁站,凤冈路口,133路,1,
凤冈路口,金榕南路口,133路,1,
金榕南路口,为民路口,133路,1,
为民路口,福州金山中学,133路,1,
福州金山中学,金山地铁站D口,133路,1,
金山地铁站D口,金山地铁站F口,133路,1,
金山地铁站F口,金山公交总站,133路,1,
,,,,
上渡建材市场,上渡,115路,1,
上渡,师大(程埔头),115路,1,
师大(程埔头),跑马场,115路,1,
跑马场,龙津,115路,1,
龙津,埔顶,115路,1,
埔顶,桥南,115路,1,
桥南,桥北,115路,1,
桥北,雁塔,115路,1,
雁塔,象园头,115路,1,
象园头,象园(长乐路口),115路,1,
象园(长乐路口),象园街道,115路,1,
象园街道,世欧广场,115路,1,
世欧广场,讲堂前,115路,1,
讲堂前,乐西(东),115路,1,
乐西(东),大名城,115路,1,
大名城,地铁五里亭站,115路,1,
地铁五里亭站,肿瘤医院,115路,1,
肿瘤医院,前屿,115路,1,
前屿,恒宇国际公园,115路,1,
恒宇国际公园,远洋,115路,1,
远洋,磨洋河,115路,1,
磨洋河,廨院小学,115路,1,
廨院小学,省革命历史纪念馆,115路,1,
省革命历史纪念馆,地铁鼓山站,115路,1,
地铁鼓山站,廨院公交总站,115路,1,
,,,,
熊猫世界,西洪路,88路,1,
西洪路,湖头街,88路,1,
湖头街,西门,88路,1,
,,,,
福建博物馆,左海公园西门,88路,1,
左海公园西门,梅峰宾馆,88路,1,
梅峰宾馆,梅峰支路,88路,1,
梅峰支路,梅峰路,88路,1,
梅峰路,西洪凤里,88路,1,
西洪凤里,八一六花园,88路,1,
八一六花园,孟超肝胆医院西洪院区(鸡角弄),88路,1,
孟超肝胆医院西洪院区(鸡角弄),陆庄,88路,1,
陆庄,西门,88路,1,
西门,西湖,88路,1,
西湖,福三中,88路,1,
福三中,鼓楼,88路,1,
鼓楼,旗汛口,88路,1,
旗汛口,仙塔街,88路,1,
仙塔街,格致中学,88路,1,
格致中学,协和医院,88路,1,
协和医院,于山,88路,1,
于山,水部,88路,1,
水部,古田六一路口,88路,1,
古田六一路口,紫阳,88路,1,
紫阳,乐西(东),88路,1,
乐西(东),讲堂前,88路,1,
讲堂前,世欧广场,88路,1,
世欧广场,象园街道,88路,1,
象园街道,市青少年活动中心,88路,1,
市青少年活动中心,福州市老年大学,88路,1,
福州市老年大学,长乐南路,88路,1,
长乐南路,闽江世纪广场,88路,1,
闽江世纪广场,曙光支路东站,88路,1,
曙光支路东站,金融街万达广场,88路,1,
金融街万达广场,鳌峰亚兴路口,88路,1,
鳌峰亚兴路口,鱼池,88路,1,
鱼池,鳌峰公园,88路,1,
鳌峰公园,公交鳌峰洲站,88路,1,
公交鳌峰洲站,鳌峰洲公交总站,88路,1,
