前一节点,后一节点,线路名称,票价(元),间距(公里)
凤尾,闽江学院工业路校区,7路,1,
闽江学院工业路校区,福祥社区,7路,1,
福祥社区,祥坂路口,7路,1,
祥坂路口,宝龙城市广场,7路,1,
宝龙城市广场,工业路白马路口,7路,1,
工业路白马路口,博美诗邦,7路,1,
博美诗邦,安淡,7路,1,
安淡,汽车站,7路,1,
汽车站,状元境,7路,1,
状元境,五福天桥,7路,1,
五福天桥,水部,7路,1,
水部,古田六一,7路,1,
古田六一,紫阳,7路,1,
紫阳,大名城,7路,1,
大名城,地铁五里亭站,7路,1,
地铁五里亭站,肿瘤医院,7路,1,
肿瘤医院,前屿,7路,1,
前屿,恒宇国际公园,7路,1,
恒宇国际公园,远洋,7路,1,
远洋,磨洋河,7路,1,
磨洋河,廨院小学,7路,1,
廨院小学,省革命历史纪念馆,7路,1,
省革命历史纪念馆,地铁鼓山站,7路,1,
地铁鼓山站,廨院公交总站,7路,1,
,,,,
软件园公交总站,软件园东门,8路,1,
软件园东门,省军区(马鞍),8路,1,
省军区(马鞍),省军区幼儿园,8路,1,
省军区幼儿园,铜盘,8路,1,
铜盘,天峰,8路,1,
天峰,左海公园,8路,1,
左海公园,三角井,8路,1,
三角井,屏山,8路,1,
屏山,省卫健委,8路,1,
省卫健委,鼓楼,8路,1,
鼓楼,南街,8路,1,
南街,道山路口,8路,1,
道山路口,于山,8路,1,
于山,正大广场,8路,1,
正大广场,状元境,8路,1,
状元境,汽车站,8路,1,
汽车站,南公园,8路,1,
南公园,象园头,8路,1,
象园头,象园(长乐路口),8路,1,
象园(长乐路口),连潘,8路,1,
连潘,光明桥,8路,1,
光明桥,龙福机电交易市场,8路,1,
龙福机电交易市场,三高路东,8路,1,
三高路东,种福寺,8路,1,
种福寺,三叉街,8路,1,
三叉街,三叉新村,8路,1,
三叉新村,则徐大道盖山路口,8路,1,
则徐大道盖山路口,白湖亭,8路,1,
,,,,
新厦二区社区,幸福城小区,9路,1,
幸福城小区,新店,9路,1,
新店,浮村,9路,1,
浮村,湖前,9路,1,
湖前,魁炉头,9路,1,
魁炉头,源脉温泉,9路,1,
源脉温泉,龙腰,9路,1,
龙腰,北门,9路,1,
北门,屏东,9路,1,
屏东,树兜,9路,1,
树兜,古三座,9路,1,
古三座,闽江饭店,9路,1,
闽江饭店,八方大厦,9路,1,
八方大厦,东水路口,9路,1,
东水路口,东门,9路,1,
东门,省彩印厂,9路,1,
省彩印厂,长乐北路口,9路,1,
长乐北路口,乐西(东),9路,1,
乐西(东),讲堂前,9路,1,
讲堂前,世欧广场,9路,1,
世欧广场,象园街道,9路,1,
象园街道,连潘,9路,1,
连潘,福州电视中心,9路,1,
福州电视中心,融侨东区,9路,1,
融侨东区,三木小区,9路,1,
三木小区,三木都市田园,9路,1,
三木都市田园,流星东景小区,9路,1,
流星东景小区,前屿东路,9路,1,
前屿东路,招贤路,9路,1,
,,,,
火车站北广场,铁道医院,10路,1,
铁道医院,二环路斗门,10路,1,
二环路斗门,电建二公司,10路,1,
电建二公司,省老年医院,10路,1,
省老年医院,证照中心,10路,1,
证照中心,屏山公园,10路,1,
屏山公园,长冠城,10路,1,
长冠城,屏西,10路,1,
屏西,铜盘路,10路,1,
铜盘路,省高院,10路,1,
省高院,梅峰支路,10路,1,
梅峰支路,梅峰路,10路,1,
梅峰路,茶园山,10路,1,
茶园山,柳桥,10路,1,
柳桥,福屿天桥,10路,1,
福屿天桥,黎明,10路,1,
黎明,市教院附中,10路,1,
市教院附中,菏泽,10路,1,
菏泽,宝龙城市广场,10路,1,
宝龙城市广场,工业路白马路口,10路,1,
工业路白马路口,博美诗邦,10路,1,
博美诗邦,省人民医院,10路,1,
省人民医院,文化宫,10路,1,
文化宫,中亭街,10路,1,
中亭街,台江医院,10路,1,
台江医院,闽江之心(台州步行街),10路,1,
闽江之心(台州步行街),排尾,10路,1,
排尾,亚峰,10路,1,
亚峰,排尾路长乐南路口,10路,1,
排尾路长乐南路口,亚峰农贸市场,10路,1,
亚峰农贸市场,鳌峰大桥,10路,1,
鳌峰大桥,金融街万达广场,10路,1,
金融街万达广场,鳌峰亚兴路口,10路,1,
鳌峰亚兴路口,鱼池,10路,1,
鱼池,鳌峰公园,10路,1,
鳌峰公园,公交鳌峰洲站,10路,1,
公交鳌峰洲站,鳌峰公交总站,10路,1,
,,,,
公交鹤林站,鹤林新城,11路,1,
