节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
五台山大桥,,古城微巴1号线,0
便益门,,古城微巴1号线,1
工艺美术馆,,古城微巴1号线,3
个园,,古城微巴1号线,7
妇幼保健院,,古城微巴1号线,6
东关街(彩衣街),,古城微巴1号线,13
东圈门,,古城微巴1号线,9
教场,,古城微巴1号线,9
绿杨旅社,,古城微巴1号线,9
苏唱街,,古城微巴1号线,9
渡江桥北,,古城微巴1号线,11
渡江桥东,,古城微巴1号线,9
七二三所,,古城微巴1号线,10
何园,,古城微巴1号线,11
徐凝门大街(皮市街南),,古城微巴1号线,7
广陵医院,,古城微巴1号线,4
跃进桥,,古城微巴1号线,5
吴道台府,,古城微巴1号线,6
东关古渡,,古城微巴1号线,5
便益门,,古城微巴1号线,1
五台山大桥,,古城微巴1号线,0
,,,
扬农集团,,11路,1
文峰塔,,11路,1
制药厂,,11路,0
朱自清中学,,11路,0
西花园,,11路,0
工人新村,,11路,0
通扬桥东,,11路,0
荷花池公园,,11路,3
苏北医院西门,,11路,3
双虹桥,,11路,3
扬大农学院,,11路,0
新华中学,,11路,0
市人力资源和社会保障局,,11路,1
梅庄新村,,11路,0
念四新村,,11路,0
瘦西湖西门,,11路,0
二十四桥,,11路,4
蜀冈西峰,,11路,1
鉴真路,,11路,1
新东方中学,,11路,0
邗江公安局,,11路,0
司徒村村委会,,11路,0
汇锦花苑北门,,11路,0
淮扬中学北门,,11路,0
司徒庙路真周北路东,,11路,0
高庄,,11路,0
后谈庄,,11路,0
中心村,,11路,0
俞桥村,,11路,0
胡场村,,11路,1
东徐庄,,11路,1
祁塘,,11路,0
司徒庙路甘八路,,11路,0
杨庙陈庄,,11路,0
双庙村,,11路,0
杨庙苏庄,,11路,0
赵庄团结组,,11路,0
恒星路岔口,,11路,0
首创,,11路,0
扬州环保产业园,,11路,0
,,,
公交四公司,,12路,0
严桥,,12路,0
板桥,,12路,0
广陵骨伤科医院,,12路,0
沙湾南路,,12路,0
联通智控,,12路,0
工业园区,,12路,0
董庄路桃园路,,12路,0
董庄路龙泉路,,12路,0
董庄路金苑路,,12路,0
董庄路秦邮南路,,12路,0
秦邮南路大众港路,,12路,0
中欧工业园东门,,12路,0
雅歌路,,12路,0
广源集团,,12路,0
广竹苑东,,12路,0
广竹苑北门,,12路,0
运河人家南区西门,,12路,0
运河人家北区西门,,12路,0
翠月西苑,,12路,0
翠月路,,12路,0
翠月花园北门,,12路,0
翠月东苑,,12路,0
翠月嘉苑东,,12路,0
翠月嘉苑,,12路,0
扬州大桥东,,12路,0
扬州大桥西,,12路,0
嘉都汇,,12路,0
观潮路文昌中路,,12路,0
文昌大厦,,12路,0
文昌花园南,,12路,0
文昌北苑东,,12路,0
五里庙,,12路,0
名城运河锦园,,12路,0
群发化工小区,,12路,0
扬州高职校,,12路,0
