前一节点,后一节点,线路名称,票价,区域属性
连运路渡江南路,食品产业园公交首末站,6路,2,
,,,,
高力家居港,江阳西路祥园路,8路,2,
江阳西路祥园路,上方公馆,8路,2,
上方公馆,江苏邗建集团,8路,2,
江苏邗建集团,金丰公司,8路,2,
金丰公司,名兴花园,8路,2,
名兴花园,顺达路,8路,2,
顺达路,金湖湾,8路,2,
金湖湾,开发西路,8路,2,
开发西路,开发西路鸿大路,8路,2,
开发西路鸿大路,祥和路,8路,2,
祥和路,宝龙广场西门,8路,2,
宝龙广场西门,淮扬路茉莉花路,8路,2,
淮扬路茉莉花路,恒安标准人寿,8路,2,
恒安标准人寿,江阳中路扬子江中路,8路,2,
江阳中路扬子江中路,江阳中路大学南路,8路,2,
江阳中路大学南路,通扬桥东,8路,2,
通扬桥东,工人新村,8路,2,
工人新村,福运门,8路,2,
福运门,渡江桥东,8路,2,
渡江桥东,七二三所,8路,2,
七二三所,康山文化园,8路,2,
康山文化园,跃进桥南,8路,2,
跃进桥南,跃进桥,8路,2,
跃进桥,吴道台府,8路,2,
吴道台府,东关古渡,8路,2,
东关古渡,便益门,8路,2,
便益门,五台山大桥,8路,2,
五台山大桥,梅花山庄,8路,2,
梅花山庄,大王庙,8路,2,
大王庙,御龙湾商业广场,8路,2,
御龙湾商业广场,黄金坝路上方寺路,8路,2,
黄金坝路上方寺路,鸿福三村,8路,2,
鸿福三村,佳家花园,8路,2,
佳家花园,江平东路黄金坝路,8路,2,
江平东路黄金坝路,佳家如意园,8路,2,
佳家如意园,瘦西湖路,8路,2,
瘦西湖路,瘦西湖枫林路,8路,2,
瘦西湖枫林路,动物之窗公交首末站,8路,2,
,,,,
西部客运枢纽(扬州火车站西),扬州火车站,9路,2,
扬州火车站,站南路文昌西路,9路,2,
站南路文昌西路,揽月公园北,9路,2,
揽月公园北,华鼎星城,9路,2,
华鼎星城,真州中路京华城路,9路,2,
真州中路京华城路,绿洲新苑西,9路,2,
绿洲新苑西,真州中路,9路,2,
真州中路,真州中路栖祥路,9路,2,
真州中路栖祥路,高力家居港,9路,2,
高力家居港,江阳西路祥园路,9路,2,
江阳西路祥园路,扬城康复医院,9路,2,
扬城康复医院,麦德龙,9路,2,
麦德龙,江阳西路邗江中路,9路,2,
江阳西路邗江中路,江阳中路鸿大路,9路,2,
江阳中路鸿大路,扬州商城南,9路,2,
扬州商城南,维扬路茉莉花路,9路,2,
维扬路茉莉花路,宝龙广场西门,9路,2,
宝龙广场西门,宝龙广场南,9路,2,
宝龙广场南,开发区法院,9路,2,
开发区法院,中国大运河博物馆北门,9路,2,
中国大运河博物馆北门,开发东路杉湾路,9路,2,
开发东路杉湾路,开发东路,9路,2,
开发东路,市救助站,9路,2,
市救助站,大陈巷,9路,2,
大陈巷,九久奥莱广场,9路,2,
九久奥莱广场,盛城世家,9路,2,
盛城世家,翠月路,9路,2,
翠月路,翠月西苑,9路,2,
翠月西苑,运河人家北区西门,9路,2,
运河人家北区西门,运河人家南区西门,9路,2,
运河人家南区西门,广竹苑北门,9路,2,
广竹苑北门,广源集团北,9路,2,
广源集团北,广陵经开区公交首末站,9路,2,
,,,,
五台山大桥,便益门,古城微巴1号线,2,
便益门,工艺美术馆,古城微巴1号线,2,
工艺美术馆,个园,古城微巴1号线,2,
个园,妇幼保健院,古城微巴1号线,2,
妇幼保健院,东关街(彩衣街),古城微巴1号线,2,
东关街(彩衣街),东圈门,古城微巴1号线,2,
东圈门,教场,古城微巴1号线,2,
教场,绿杨旅社,古城微巴1号线,2,
绿杨旅社,苏唱街,古城微巴1号线,2,
苏唱街,渡江桥北,古城微巴1号线,2,
渡江桥北,渡江桥东,古城微巴1号线,2,
渡江桥东,七二三所,古城微巴1号线,2,
七二三所,何园,古城微巴1号线,2,
何园,徐凝门大街(皮市街南),古城微巴1号线,2,
徐凝门大街(皮市街南),广陵医院,古城微巴1号线,2,
广陵医院,跃进桥,古城微巴1号线,2,
跃进桥,吴道台府,古城微巴1号线,2,
吴道台府,东关古渡,古城微巴1号线,2,
东关古渡,便益门,古城微巴1号线,2,
便益门,五台山大桥,古城微巴1号线,2,
,,,,
扬农集团,文峰塔,11路,2,
文峰塔,制药厂,11路,2,
制药厂,朱自清中学,11路,2,
朱自清中学,西花园,11路,2,
西花园,工人新村,11路,2,
工人新村,通扬桥东,11路,2,
通扬桥东,荷花池公园,11路,2,
荷花池公园,苏北医院西门,11路,2,
苏北医院西门,双虹桥,11路,2,
双虹桥,扬大农学院,11路,2,
扬大农学院,新华中学,11路,2,
新华中学,市人力资源和社会保障局,11路,2,
市人力资源和社会保障局,梅庄新村,11路,2,
梅庄新村,念四新村,11路,2,
念四新村,瘦西湖西门,11路,2,
瘦西湖西门,二十四桥,11路,2,
二十四桥,蜀冈西峰,11路,2,
蜀冈西峰,鉴真路,11路,2,
鉴真路,新东方中学,11路,2,
新东方中学,邗江公安局,11路,2,
邗江公安局,司徒村村委会,11路,2,
司徒村村委会,汇锦花苑北门,11路,2,
汇锦花苑北门,淮扬中学北门,11路,2,
淮扬中学北门,司徒庙路真周北路东,11路,2,
司徒庙路真周北路东,高庄,11路,2,
高庄,后谈庄,11路,2,
后谈庄,中心村,11路,2,
中心村,俞桥村,11路,2,
俞桥村,胡场村,11路,2,
胡场村,东徐庄,11路,2,
东徐庄,祁塘,11路,2,
祁塘,司徒庙路甘八路,11路,2,
司徒庙路甘八路,杨庙陈庄,11路,2,
杨庙陈庄,双庙村,11路,2,
双庙村,杨庙苏庄,11路,2,
杨庙苏庄,赵庄团结组,11路,2,
赵庄团结组,恒星路岔口,11路,2,
恒星路岔口,首创,11路,2,
首创,扬州环保产业园,11路,2,
,,,,
公交四公司,严桥,12路,2,
严桥,板桥,12路,2,
板桥,广陵骨伤科医院,12路,2,
广陵骨伤科医院,沙湾南路,12路,2,
沙湾南路,联通智控,12路,2,
联通智控,工业园区,12路,2,
工业园区,董庄路桃园路,12路,2,
董庄路桃园路,董庄路龙泉路,12路,2,
董庄路龙泉路,董庄路金苑路,12路,2,
董庄路金苑路,董庄路秦邮南路,12路,2,
董庄路秦邮南路,秦邮南路大众港路,12路,2,
秦邮南路大众港路,中欧工业园东门,12路,2,
中欧工业园东门,雅歌路,12路,2,
雅歌路,广源集团,12路,2,
广源集团,广竹苑东,12路,2,
广竹苑东,广竹苑北门,12路,2,
广竹苑北门,运河人家南区西门,12路,2,
运河人家南区西门,运河人家北区西门,12路,2,
运河人家北区西门,翠月西苑,12路,2,
翠月西苑,翠月路,12路,2,
翠月路,翠月花园北门,12路,2,
翠月花园北门,翠月东苑,12路,2,
翠月东苑,翠月嘉苑东,12路,2,
翠月嘉苑东,翠月嘉苑,12路,2,
翠月嘉苑,扬州大桥东,12路,2,
扬州大桥东,扬州大桥西,12路,2,
扬州大桥西,嘉都汇,12路,2,
嘉都汇,观潮路文昌中路,12路,2,
观潮路文昌中路,文昌大厦,12路,2,
文昌大厦,文昌花园南,12路,2,
文昌花园南,文昌北苑东,12路,2,
文昌北苑东,五里庙,12路,2,
五里庙,名城运河锦园,12路,2,
名城运河锦园,群发化工小区,12路,2,
群发化工小区,扬州高职校,12路,2,
扬州高职校,万福西苑,12路,2,
万福西苑,江都北路南,12路,2,
江都北路南,吾悦广场北,12路,2,
吾悦广场北,瘦西湖景苑西门,12路,2,
瘦西湖景苑西门,江都北路玉箫路,12路,2,
江都北路玉箫路,三星花园西门,12路,2,
三星花园西门,三星花园北,12路,2,
三星花园北,叶桥路秋实园路北,12路,2,
叶桥路秋实园路北,佳嘉花园公交首末站,12路,2,
,,,,
大明寺,观音山,游2路,2,
观音山,瘦西湖东门,游2路,2,
瘦西湖东门,五亭桥,游2路,2,
五亭桥,宋夹城体育场休闲公园南门,游2路,2,
宋夹城体育场休闲公园南门,友谊广场,游2路,2,
友谊广场,迎宾馆,游2路,2,
迎宾馆,瘦西湖,游2路,2,
瘦西湖,文昌阁,游2路,2,
文昌阁,石塔寺,游2路,2,
石塔寺,扬大文汇路校区东,游2路,2,
扬大文汇路校区东,畜牧兽医院,游2路,2,
畜牧兽医院,扬州大学,游2路,2,
扬州大学,砚池小区,游2路,2,
砚池小区,大学南路江阳中路北,游2路,2,
大学南路江阳中路北,文峰大桥,游2路,2,
文峰大桥,中国大运河博物馆东,游2路,2,
中国大运河博物馆东,运河三湾风景区东门,游2路,2,
运河三湾风景区东门,开发区人民检察院,游2路,2,
开发区人民检察院,G40扬州南出入口,游2路,2,
G40扬州南出入口,富川瑞园,游2路,2,
富川瑞园,依云城邦,游2路,2,
依云城邦,外商公共服务中心,游2路,2,
外商公共服务中心,四水厂,游2路,2,
四水厂,江海学院,游2路,2,
江海学院,邗江南路扬子津路,游2路,2,
邗江南路扬子津路,扬大广陵学院西,游2路,2,
扬大广陵学院西,运西朱庄,游2路,2,
运西朱庄,红庙路岔口,游2路,2,
红庙路岔口,怡园东苑东,游2路,2,
怡园东苑东,运西东,游2路,2,
运西东,运西万庄,游2路,2,
运西万庄,运西花园东,游2路,2,
运西花园东,运西王庄,游2路,2,
运西王庄,葵园,游2路,2,
葵园,邗江南路南,游2路,2,
邗江南路南,古运河大桥西,游2路,2,
古运河大桥西,瓜洲桥,游2路,2,
瓜洲桥,瓜洲古渡公园,游2路,2,
,,,,
平山实验学校,九溪玫瑰园南门,17路,2,
九溪玫瑰园南门,17路临时站,17路,2,
17路临时站,学士社区,17路,2,
学士社区,17路临时站2,17路,2,
17路临时站2,木材市场,17路,2,
木材市场,瘦西湖路,17路,2,
瘦西湖路,瘦西湖枫林路,17路,2,
瘦西湖枫林路,世界动物之窗,17路,2,
世界动物之窗,干休所,17路,2,
干休所,友谊新村,17路,2,
友谊新村,友谊广场,17路,2,
友谊广场,迎宾馆,17路,2,
迎宾馆,瘦西湖,17路,2,
瘦西湖,文昌阁,17路,2,
文昌阁,石塔寺,17路,2,
石塔寺,西门,17路,2,
西门,人民大厦,17路,2,
人民大厦,市人力资源和社会保障局,17路,2,
市人力资源和社会保障局,新华中学,17路,2,
新华中学,崇文苑,17路,2,
崇文苑,春江花园,17路,2,
春江花园,扬子江中路茉莉花路,17路,2,
扬子江中路茉莉花路,交警支队,17路,2,
交警支队,扬州智谷东,17路,2,
扬州智谷东,三湾湿地公园西,17路,2,
三湾湿地公园西,开发区人民检察院,17路,2,
开发区人民检察院,G40扬州南出入口,17路,2,
G40扬州南出入口,富川瑞园,17路,2,
富川瑞园,华杨大桥西,17路,2,
华杨大桥西,华扬大桥东,17路,2,
华扬大桥东,古津路北,17路,2,
古津路北,古津路,17路,2,
古津路,古津路南,17路,2,
古津路南,西安交大扬州科技园,17路,2,
西安交大扬州科技园,吴州大桥西,17路,2,
吴州大桥西,四水厂,17路,2,
四水厂,江海学院,17路,2,
江海学院,开发区马庄,17路,2,
开发区马庄,蓝蔚庄园,17路,2,
蓝蔚庄园,九龙湖路岔口,17路,2,
九龙湖路岔口,出口加工厂,17路,2,
出口加工厂,毓秀路东,17路,2,
毓秀路东,树人九龙湖校区,17路,2,
树人九龙湖校区,马港河北路毓秀路北,17路,2,
马港河北路毓秀路北,树人学校凤栖湖校区,17路,2,
树人学校凤栖湖校区,晶龙湾南门,17路,2,
晶龙湾南门,江苏旅游职业学院,17路,2,
,,,,
西部客运枢纽(扬州火车站西),扬州火车站,18路,2,
扬州火车站,站南路文昌西路,18路,2,
站南路文昌西路,京华城路新盛路,18路,2,
京华城路新盛路,新盛路北,18路,2,
新盛路北,新盛花苑,18路,2,
新盛花苑,同泰路西,18路,2,
同泰路西,同泰路真州中路,18路,2,
同泰路真州中路,同泰路,18路,2,
同泰路,绿杨新苑西门,18路,2,
绿杨新苑西门,绿杨新苑,18路,2,
绿杨新苑,水晶城,18路,2,
水晶城,天俊华府,18路,2,
天俊华府,西郡188花园西门,18路,2,
西郡188花园西门,西郡188花园南门,18路,2,
西郡188花园南门,富丽康城,18路,2,
