前一节点,后一节点,路线属性,票价(元),频率(分钟/趟)
临漳水闸,三千坛,31路,2,20
三千坛,浮桥站,31路,2,20
浮桥站,霞洲,31路,2,20
霞洲,锦工中路口,31路,2,20
锦工中路口,王宫,31路,2,20
王宫,泉州建材市场,31路,2,20
泉州建材市场,上埕路口,31路,2,20
上埕路口,浦口,31路,2,20
浦口,展览城,31路,2,20
展览城,金浦供水公司,31路,2,20
金浦供水公司,清濛,31路,2,20
清濛,诺林商城,31路,2,20
诺林商城,清濛科技园,31路,2,20
清濛科技园,崇祥街,31路,2,20
崇祥街,兴泰路南段,31路,2,20
兴泰路南段,崇顺街,31路,2,20
崇顺街,吉泰路富丽,31路,2,20
吉泰路富丽,旧铺村后岭,31路,2,20
旧铺村后岭,清濛缺井村,31路,2,20
清濛缺井村,崇宏街西段,31路,2,20
崇宏街西段,福泰路口,31路,2,20
福泰路口,高尔夫球场,31路,2,20
高尔夫球场,后厝街站,31路,2,20
后厝街站,洋店,31路,2,20
洋店,晋江旧货市场,31路,2,20
晋江旧货市场,苏垵路口,31路,2,20
苏垵路口,开元路口,31路,2,20
开元路口,泉州综合保税区,31路,2,20
,,,,
泉州一院城东分院首末站,泉州一院城东分院,32路,1,23
泉州一院城东分院,世界城北门,32路,1,23
世界城北门,体育街西段,32路,1,23
体育街西段,东浦路北段,32路,1,23
东浦路北段,东方花园城,32路,1,23
东方花园城,黄林新村,32路,1,23
黄林新村,明日广场站,32路,1,23
明日广场站,坪山路口,32路,1,23
坪山路口,圣墓,32路,1,23
圣墓,线务局,32路,1,23
线务局,国税局,32路,1,23
国税局,丰泽路口,32路,1,23
丰泽路口,祥业花园,32路,1,23
祥业花园,东美街口,32路,1,23
东美街口,公路一公司,32路,1,23
公路一公司,刺桐南路中段,32路,1,23
刺桐南路中段,丰泽交警大队,32路,1,23
丰泽交警大队,溜石村口,32路,1,23
溜石村口,霞福村口,32路,1,23
霞福村口,中远学校,32路,1,23
中远学校,东山站,32路,1,23
东山站,安踏鞋业,32路,1,23
安踏鞋业,华洲,32路,1,23
华洲,海丝景城路口,32路,1,23
海丝景城路口,海丝景城,32路,1,23
海丝景城,兴霞路,32路,1,23
兴霞路,百捷中央广场,32路,1,23
,,,,
福厦铁路泉州站,泉州软件园,33路,1,18
泉州软件园,霞美,33路,1,18
霞美,曾坑,33路,1,18
曾坑,黄龙大桥头,33路,1,18
黄龙大桥头,招贤社区,33路,1,18
招贤社区,丰泽实小潘山校区,33路,1,18
丰泽实小潘山校区,北清西路,33路,1,18
北清西路,北峰工业区,33路,1,18
北峰工业区,坑尾路口,33路,1,18
坑尾路口,西湖公园,33路,1,18
西湖公园,邮电公寓,33路,1,18
邮电公寓,建南花园,33路,1,18
建南花园,新华小区,33路,1,18
新华小区,西湖小区,33路,1,18
西湖小区,邮电公寓,33路,1,18
邮电公寓,建南花园,33路,1,18
建南花园,新华小区,33路,1,18
新华小区,西湖小区,33路,1,18
西湖小区,培元中学,33路,1,18
培元中学,开元寺西门,33路,1,18
开元寺西门,省五建,33路,1,18
省五建,新门菜市,33路,1,18
新门菜市,新门街头,33路,1,18
新门街头,府文庙,33路,1,18
府文庙,关帝庙,33路,1,18
关帝庙,棋盘园,33路,1,18
棋盘园,海关大楼,33路,1,18
海关大楼,泉州汽车站,33路,1,18
,,,,
田洋村,紫新路,41路,1,40
紫新路,鲤城区教育基地,41路,1,40
鲤城区教育基地,赤土村口,41路,1,40
赤土村口,泉州经贸学院,41路,1,40
泉州经贸学院,高新科技园,41路,1,40
高新科技园,洋仕村口(市中医院东),41路,1,40
洋仕村口(市中医院东),樟崎村口,41路,1,40
樟崎村口,乌石路口,41路,1,40
乌石路口,火炬街中段,41路,1,40
火炬街中段,火炬街东段,41路,1,40
火炬街东段,泉州建材市场,41路,1,40
泉州建材市场,王宫,41路,1,40
王宫,锦工中路口,41路,1,40
锦工中路口,霞洲,41路,1,40
霞洲,浮桥站,41路,1,40
浮桥站,三千坛,41路,1,40
三千坛,龙头山,41路,1,40
龙头山,孟衙巷口,41路,1,40
孟衙巷口,城西路北段,41路,1,40
城西路北段,培元中学,41路,1,40
培元中学,开元寺西门,41路,1,40
开元寺西门,省五建,41路,1,40
省五建,新门菜市,41路,1,40
新门菜市,新门街头,41路,1,40
新门街头,府文庙,41路,1,40
府文庙,关帝庙,41路,1,40
关帝庙,棋盘园,41路,1,40
棋盘园,温陵路中段,41路,1,40
温陵路中段,儿童医院,41路,1,40
儿童医院,青少年宫,41路,1,40
青少年宫,闽侨站,41路,1,40
闽侨站,田安路北段,41路,1,40
田安路北段,侨乡体育馆,41路,1,40
侨乡体育馆,泉州体校,41路,1,40
,,,,
清濛狮子山公交首末站,崇惠街口,K301路,1,30
崇惠街口,九牧王站,K301路,1,30
九牧王站,清濛,K301路,1,30
清濛,金浦供水公司,K301路,1,30
金浦供水公司,展览城,K301路,1,30
展览城,宝洲街西段,K301路,1,30
宝洲街西段,浦西村口,K301路,1,30
浦西村口,宝洲街中段,K301路,1,30
宝洲街中段,丰泽交警大队,K301路,1,30
丰泽交警大队,刺桐南路中段,K301路,1,30
刺桐南路中段,客运中心站南门,K301路,1,30
客运中心站南门,金帝花园,K301路,1,30
金帝花园,董埭路口,K301路,1,30
董埭路口,泉州中级法院,K301路,1,30
泉州中级法院,法石老人活动中心,K301路,1,30
法石老人活动中心,南威大厦,K301路,1,30
南威大厦,后厝,K301路,1,30
后厝,蟳埔路口,K301路,1,30
蟳埔路口,蟳埔菜市,K301路,1,30
蟳埔菜市,滨海街口,K301路,1,30
滨海街口,东梅转运,K301路,1,30
东梅转运,港湾街口,K301路,1,30
港湾街口,港湾街西段,K301路,1,30
港湾街西段,港湾街中段,K301路,1,30
港湾街中段,港湾街东段,K301路,1,30
港湾街东段,市图书馆,K301路,1,30
市图书馆,滨海街东段,K301路,1,30
滨海街东段,海星小区,K301路,1,30
海星小区,海星小区首末站,K301路,1,30
,,,,
,,,,
,,,,
宝洲街西段,泉州大桥东(宝海庵),泉州大桥,1,20
泉州大桥东(宝海庵),泉州大桥西(轻扬体育馆),泉州大桥,1,20
泉州大桥西(轻扬体育馆),华洲家装市场,泉州大桥,1,20
,,,,
土地后,顺济新桥东(金山公园),顺济新桥,1,20
顺济新桥东(金山公园),顺济新桥西(桥尾码头),顺济新桥,1,20
顺济新桥西(桥尾码头),朵莲寺,顺济新桥,1,20
,,,,
三千坛,笋江大桥东(婆娑三圣殿),笋江大桥,1,20
笋江大桥东(婆娑三圣殿),笋江大桥西(浮桥观音寺),笋江大桥,1,20
笋江大桥西(浮桥观音寺),浮桥站,笋江大桥,1,20
,,,,
土地后,金山桥,笋浯溪,1,20
金山桥,鲤城交警三中队人行桥,笋浯溪,1,20
鲤城交警三中队人行桥,五堡公园(笋浯溪),笋浯溪,1,20
五堡公园(笋浯溪),五宝街人行桥（泉郡溪灵宫）,笋浯溪,1,20
五宝街人行桥（泉郡溪灵宫）,泉州老干部活动中心(笋浯溪),笋浯溪,1,20
泉州老干部活动中心(笋浯溪),泉郡日月太保宫(笋浯溪),笋浯溪,1,20
泉郡日月太保宫(笋浯溪),新华桥(笋浯溪),笋浯溪,1,20
新华桥(笋浯溪),芳草园(笋浯溪),笋浯溪,1,20
芳草园(笋浯溪),康惠楼(笋浯溪),笋浯溪,1,20
康惠楼(笋浯溪),升平社区人行桥,笋浯溪,1,20
升平社区人行桥,江滨北路(笋浯溪),笋浯溪,1,20
江滨北路(笋浯溪),六角亭冬泳人行桥,笋浯溪,1,20
,,,,
升平社区人行桥,临漳水闸,笋浯溪,1,20
临漳水闸,六角亭冬泳人行桥,笋浯溪,1,20
新华桥,新华桥(笋浯溪),笋浯溪,1,20
,,,,
小岞海产品干货(桥),鸿记茶庄(桥),东南护城河,1,20
鸿记茶庄(桥),跃进社区居委会办公楼(桥),东南护城河,1,20
跃进社区居委会办公楼(桥),福建省泉州市第七中学(桥),东南护城河,1,20
福建省泉州市第七中学(桥),幸福街口(桥),东南护城河,1,20
幸福街口(桥),迎津桥,东南护城河,1,20
迎津桥,公路局大厦(桥),东南护城河,1,20
公路局大厦(桥),丰泽区多元调解中心(桥),东南护城河,1,20
丰泽区多元调解中心(桥),温陵美食街(桥),东南护城河,1,20
温陵美食街(桥),MissBlue生曰蛋糕(泉府大第店)(桥),东南护城河,1,20
MissBlue生曰蛋糕(泉府大第店)(桥),丰泽国有宿舍(桥),东南护城河,1,20
丰泽国有宿舍(桥),老厨房美食(桥),东南护城河,1,20
老厨房美食(桥),儿童医院(桥),东南护城河,1,20
,,,,
小岞海产品干货(桥),宝洲街西段,东南护城河,1,20
儿童医院,儿童医院(桥),东南护城河,1,20
小岞海产品干货(桥),泉州大桥东(宝海庵),东南护城河,1,20
