节点名称,区域属性,500M内是否有文保单位/古迹遗址/宗祠故地,线路,500M内文保单位/古迹遗址/宗祠故地的个数,,
见龙亭小区南门,丰泽区,是,6路,1,,
招贤社区,丰泽区,是,6路,1,,
丰泽实小潘山校区,丰泽区,否,6路,0,,
北清西路,丰泽区,否,6路,0,,
北峰工业区,丰泽区,否,6路,0,,
坑尾路口,丰泽区,否,6路,0,,
西湖公园,丰泽区,否,6路,0,,
邮电公寓,丰泽区,否,6路,0,,
建南花园,丰泽区,否,6路,0,,
新华小区,丰泽区,否,6路,0,,
西湖小区,丰泽区,是,6路,3,,
培元中学,鲤城区,是,6路,13,,
开元寺西门,鲤城区,是,6路,13,,
省五建,鲤城区,是,6路,8,,
新门菜市,鲤城区,是,6路,11,,
新门街头,鲤城区,是,6路,9,,
府文庙,鲤城区,是,6路,9,,
关帝庙,鲤城区,是,6路,6,,
棋盘园,鲤城区,是,6路,4,,
海关大楼,丰泽区,是,6路,3,,
温陵路南段,丰泽区,是,6路,6,,
宝洲街西段,丰泽区,是,6路,3,,
东南医院,丰泽区,是,6路,2,,
浦西村口,丰泽区,是,6路,1,,
宝洲街中段,丰泽区,否,6路,0,,
雅园路口,丰泽区,否,6路,0,,
宝洲街口,丰泽区,否,6路,0,,
坪山路南段,丰泽区,否,6路,0,,
客运中心站东门,丰泽区,否,6路,0,,
院前公交站,丰泽区,否,6路,0,,
,,,,,,
文化宫,鲤城区,是,7路,8,,
百源路,鲤城区,是,7路,8,,
关帝庙,鲤城区,是,7路,6,,
棋盘园,鲤城区,是,7路,4,,
津坂路口,丰泽区,否,7路,0,,
水务集团,丰泽区,否,7路,0,,
刺桐公园南门,丰泽区,否,7路,0,,
祥业花园,丰泽区,否,7路,0,,
丰泽街口,丰泽区,否,7路,0,,
人民医院,丰泽区,否,7路,0,,
公交大厦,丰泽区,否,7路,0,,
坪山洞东侧,丰泽区,否,7路,0,,
山海路口,丰泽区,否,7路,0,,
东星,丰泽区,是,7路,1,,
埭头,丰泽区,否,7路,0,,
前头,丰泽区,否,7路,0,,
浔美,丰泽区,是,7路,1,,
世界城东门,丰泽区,否,7路,0,,
泉州一院城东分院,丰泽区,否,7路,0,,
海峡体育中心北门,丰泽区,是,7路,2,,
体育中心北四门,丰泽区,是,7路,2,,
城东中学,丰泽区,是,7路,1,,
华侨大学首末站,丰泽区,是,7路,1,,
,,,,,,
文化宫,鲤城区,是,8路,8,,
百源路,鲤城区,是,8路,8,,
关帝庙,鲤城区,是,8路,6,,
天后路北段,鲤城区,是,8路,4,,
幸福街口,鲤城区,是,8路,7,,
温陵路南段,丰泽区,是,8路,6,,
宝洲街西段,丰泽区,是,8路,3,,
东南医院,丰泽区,是,8路,2,,
浦西村口,丰泽区,否,8路,0,,
宝洲街中段,丰泽区,否,8路,0,,
丰泽交警大队,丰泽区,否,8路,0,,
刺桐南路中段,丰泽区,否,8路,0,,
客运中心站南门,丰泽区,否,8路,0,,
金帝花园,丰泽区,否,8路,0,,
现代广场,丰泽区,是,8路,2,,
东海街道办事处,丰泽区,是,8路,3,,
黎明大学,丰泽区,是,8路,6,,
宝珊花园,丰泽区,是,8路,4,,
法坊路口,丰泽区,是,8路,2,,
霞露口,丰泽区,是,8路,1,,
东海滨城,丰泽区,否,8路,0,,
格联通街,丰泽区,否,8路,0,,
东滨路口,丰泽区,否,8路,0,,
格联通街口,丰泽区,否,8路,0,,
公交东海站,丰泽区,是,8路,1,,
霞塘,丰泽区,否,8路,0,,
东梅,丰泽区,否,8路,0,,
泉州师院,丰泽区,是,8路,1,,
东海大街口,丰泽区,否,8路,0,,
府西路,丰泽区,是,8路,1,,
泉州行政中心,丰泽区,否,8路,0,,
晋光小学东海校区,丰泽区,否,8路,0,,
海星小区,丰泽区,否,8路,0,,
海星小区首末站,丰泽区,否,8路,0,,
,,,,,,
文化宫,鲤城区,是,10路,8,,
承天寺,鲤城区,是,10路,14,,
泉州一院,鲤城区,是,10路,13,,
东门,鲤城区,是,10路,6,,
东湖影院,丰泽区,是,10路,4,,
柑舍头,丰泽区,是,10路,1,,
圣福花苑,丰泽区,是,10路,2,,
后茂路口,丰泽区,是,10路,2,,
泉州科技中学,鲤城区,是,10路,2,,
北清东路中石油,丰泽区,否,10路,0,,
泉州歌舞剧院,丰泽区,否,10路,0,,
花园头,丰泽区,否,10路,0,,
清源山风景区（910医院路口）,丰泽区,是,10路,1,,
田边村口,丰泽区,否,10路,0,,
田边,丰泽区,否,10路,0,,
群石小学,丰泽区,是,10路,1,,
戴厝,丰泽区,否,10路,0,,
上下村,丰泽区,否,10路,0,,
山兜,洛江区,否,10路,0,,
工业区路口,洛江区,否,10路,0,,
双阳街道办事处,洛江区,否,10路,0,,
双阳中学,洛江区,是,10路,1,,
仕林坑,洛江区,否,10路,0,,
黑峰山,洛江区,否,10路,0,,
埔边,洛江区,否,10路,0,,
霞溪,洛江区,否,10路,0,,
浮桥村,洛江区,是,10路,1,,
下庄路口,洛江区,是,10路,1,,
河市,洛江区,是,10路,1,,
,,,,,,
市消防支队古城中队,鲤城区,是,14路,3,,
蔬菜公司,鲤城区,是,14路,3,,
甲第巷口,鲤城区,是,14路,3,,
新门菜市,鲤城区,是,14路,11,,
新门街头,鲤城区,是,14路,9,,
府文庙,鲤城区,是,14路,9,,
