前一节点,后一节点,线路名称,票价,区域属性,间距(km)
新街九都东路口,新街中州东路口南,3路,1.5,老城区,
新街中州东路口南,瀍河桥东,3路,1.5,老城区,
瀍河桥东,中州东路夹马营路口,3路,1.5,瀍河回族区,
中州东路夹马营路口,中州东路洛川街口,3路,1.5,瀍河回族区,
中州东路洛川街口,启明南路熙春路口,3路,1.5,瀍河回族区,
启明南路熙春路口,东花坛,3路,1.5,瀍河回族区,
,,,,,
王城广场,王城广场东,4路,1,西工区,
王城广场东,中州中路嘉豫门大街口,4路,1,西工区,
中州中路嘉豫门大街口,中州中路定鼎大道口,4路,1,西工区,
中州中路定鼎大道口,西关,4路,1,老城区,
西关,老集,4路,1,老城区,
老集,青年宫,4路,1,老城区,
青年宫,中州东路民主街口,4路,1,老城区,
中州东路民主街口,瀍河桥东,4路,1,老城区,
瀍河桥东,中州东路夹马营路口,4路,1,瀍河回族区,
中州东路夹马营路口,中州东路洛川街口,4路,1,瀍河回族区,
中州东路洛川街口,启明南路熙春路口,4路,1,瀍河回族区,
启明南路熙春路口,东花坛,4路,1,瀍河回族区,
东花坛,东花坛东,4路,1,瀍河回族区,
东花坛东,启明东路环卫路口,4路,1,瀍河回族区,
启明东路环卫路口,塔湾,4路,1,瀍河回族区,
塔湾,机车工厂西门,4路,1,瀍河回族区,
机车工厂西门,机车工厂,4路,1,瀍河回族区,
机车工厂,机车工厂东门,4路,1,瀍河回族区,
机车工厂东门,启明东路机车厂东路口,4路,1,瀍河回族区,
启明东路机车厂东路口,安居路启明东路口南,4路,1,瀍河回族区,
安居路启明东路口南,中州东路安居路口,4路,1,瀍河回族区,
中州东路安居路口,中州东路公交停车场,4路,1,瀍河回族区,
,,,,,
南苑路南昌路口,南苑小区,6路,1,涧西区,
南苑小区,南昌路乐山路口北,6路,1,涧西区,
南昌路乐山路口北,南昌路九都西路口南,6路,1,涧西区,
南昌路九都西路口南,西苑公园,6路,1,涧西区,
西苑公园,联盟路银川路口,6路,1,涧西区,
联盟路银川路口,太原路联盟路口,6路,1,涧西区,
