前一节点,后一节点,线路名称,票价,区域属性,间距(km)
西园路口(茭菱路),丰宁小区,7路,1,五华区,
丰宁小区,西苑立交北口,7路,1,五华区,
西苑立交北口,省社科联(二环西路),7路,1,五华区,
省社科联(二环西路),科锦路(二环西路),7路,1,五华区,
科锦路(二环西路),黄土坡立交桥西口,7路,1,五华区,
黄土坡立交桥西口,海源中路口(滇缅大道),7路,1,五华区,
海源中路口(滇缅大道),昌源路口(滇缅大道),7路,1,五华区,
昌源路口(滇缅大道),假日城市小区(滇缅大道),7路,1,五华区,
假日城市小区(滇缅大道),黑林铺(滇缅大道),7路,1,五华区,
黑林铺(滇缅大道),滇缅大道西段,7路,1,五华区,
滇缅大道西段,小团山(滇缅大道),7路,1,五华区,
小团山(滇缅大道),昭宗路口(滇缅大道),7路,1,五华区,
昭宗路口(滇缅大道),昆明玻璃厂,7路,1,五华区,
昆明玻璃厂,昭宗彝族村,7路,1,五华区,
昭宗彝族村,昭宗彝族村口,7路,1,五华区,
昭宗彝族村口,昭宗乡村村委会,7路,1,五华区,
昭宗乡村村委会,昭宗路,7路,1,五华区,
昭宗路,昭宗大村,7路,1,五华区,
昭宗大村,昆药集团,7路,1,五华区,
昆药集团,上村路口(春雨路),7路,1,五华区,
上村路口(春雨路),益宁路口(春雨路),7路,1,五华区,
益宁路口(春雨路),上村路口(春雨路),7路,1,五华区,
上村路口(春雨路),昭宗路口(招呼站),7路,1,五华区,
昭宗路口(招呼站),七公里(春雨路),7路,1,五华区,
七公里(春雨路),眠山车场,7路,1,五华区,
,,,,,
南屏街西口,艺术剧院,10路,1,五华区,
艺术剧院,小西门,10路,1,五华区,
小西门,百汇商场,10路,1,五华区,
百汇商场,建设路2,10路,1,五华区,
建设路2,地台寺,10路,1,五华区,
地台寺,理工大学西门(建设路),10路,1,五华区,
理工大学西门(建设路),苏家塘,10路,1,五华区,
苏家塘,理工大学北门(学府路),10路,1,五华区,
理工大学北门(学府路),教场路口(学府路),10路,1,五华区,
教场路口(学府路),莲花宾馆,10路,1,五华区,
莲花宾馆,小菜园,10路,1,五华区,
小菜园,江岸小区,10路,1,五华区,
江岸小区,盘江东路口(白云路),10路,1,五华区,
盘江东路口(白云路),万华路口(白云路),10路,1,盘龙区,
万华路口(白云路),志强路口(白云路),10路,1,盘龙区,
志强路口(白云路),北京路口(白云路),10路,1,盘龙区,
北京路口(白云路),颐园小区(白云路),10路,1,盘龙区,
颐园小区(白云路),王旗路(白云路),10路,1,盘龙区,
王旗路(白云路),小坝(穿金路),10路,1,盘龙区,
小坝(穿金路),小坝立交桥,10路,1,盘龙区,
小坝立交桥,昆十一中,10路,1,盘龙区,
昆十一中,北辰大道路口(穿金路),10路,1,盘龙区,
北辰大道路口(穿金路),波罗村,10路,1,盘龙区,
波罗村,省精神病医院,10路,1,盘龙区,
省精神病医院,煤机新村,10路,1,盘龙区,
煤机新村,铂金大道路口(穿金路),10路,1,盘龙区,
铂金大道路口(穿金路),穿金路北段,10路,1,盘龙区,
穿金路北段,金殿车场,10路,1,盘龙区,
,,,,,
东寺街,西寺塔,148路,1,西山区,
西寺塔,东寺街南口,148路,1,西山区,
东寺街南口,西岳庙(西昌路)1,148路,1,西山区,
西岳庙(西昌路)1,工人新村(西昌路),148路,1,西山区,
工人新村(西昌路),弥勒寺(西昌路),148路,1,西山区,
弥勒寺(西昌路),新闻路口(西昌路),148路,1,西山区,
新闻路口(西昌路),篆塘(大观路),148路,1,西山区,
篆塘(大观路),环西桥(大观路),148路,1,西山区,
环西桥(大观路),920医院,148路,1,西山区,
920医院,丹霞路口(西园路),148路,1,西山区,
丹霞路口(西园路),白马,148路,1,西山区,
白马,华夏中专(近华浦路),148路,1,西山区,
华夏中专(近华浦路),春苑小区1,148路,1,西山区,
春苑小区1,秋苑小区(昆州路),148路,1,西山区,
秋苑小区(昆州路),梁源小区,148路,1,西山区,
梁源小区,西山区政府(丽苑路),148路,1,西山区,
西山区政府(丽苑路),丽苑路西段,148路,1,西山区,
丽苑路西段,梁源小区,148路,1,西山区,
梁源小区,张家村(兴苑路),148路,1,西山区,
