节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数
伏波山,秀峰区,观光1号线,4,1
叠彩山,叠彩区,观光1号线,8,3
凤北路口,叠彩区,观光1号线,7,3
宝贤桥,叠彩区,观光1号线,5,2
翊武路,秀峰区,观光1号线,7,3
十字街(解放西路),秀峰区,观光1号线,6,3
阳桥,象山区,观光1号线,5,3
南门桥南,象山区,观光1号线,1,1
桂林站,象山区,观光1号线,0,0
天鹅塘,象山区,观光1号线,0,0
,,,,
天鹅塘,象山区,22路,0,0
桂林站,象山区,22路,0,0
南门桥南,象山区,22路,0,0
西门桥,象山区,22路,3,2
少年宫,象山区,22路,4,2
信义丽君路口,秀峰区,22路,4,2
丽泽桥,秀峰区,22路,7,4
乐群路口,秀峰区,22路,7,3
宝贤桥,叠彩区,22路,5,2
西清湖,叠彩区,22路,4,1
观音阁,叠彩区,22路,5,1
芦笛路,叠彩区,22路,0,0
九华山,叠彩区,22路,0,0
圣隆路,叠彩区,22路,0,0
圣隆路北,叠彩区,22路,0,0
胜利路三巷口,叠彩区,22路,0,0
铁路菜市,叠彩区,22路,0,0
福利路南,秀峰区,22路,0,0
福利路北,秀峰区,22路,0,0
智慧产业园,灵川县,22路,0,0
八里四路西,灵川县,22路,0,0
八里四路西二环路口,灵川县,22路,0,0
社塘村,灵川县,22路,0,0
大泉水村,灵川县,22路,0,0
桂林西站,灵川县,22路,0,0
,,,,
阳江北路,秀峰区,14路,0,0
阳江北路中,秀峰区,14路,0,0
榕湖小学分校,秀峰区,14路,0,0
琴潭中隐路口,秀峰区,14路,0,0
东安路西,秀峰区,14路,0,0
阳江路东安路口,秀峰区,14路,0,0
秀峰区政府,秀峰区,14路,0,0
桃花新村,秀峰区,14路,0,0
胜利桥,秀峰区,14路,0,0
西山公园,秀峰区,14路,2,1
丽君路,秀峰区,14路,4,1
信义市场,秀峰区,14路,6,1
观漪桥,秀峰区,14路,6,1
艺术馆,秀峰区,14路,6,3
十字街(解放西路),秀峰区,14路,6,3
解放桥,秀峰区,14路,7,4
七星公园,七星区,14路,2,0
龙隐桥,七星区,14路,3,2
龙隐路,七星区,14路,3,1
三里店,七星区,14路,1,0
三里店广场,七星区,14路,0,0
石油六公司,七星区,14路,0,0
鸾东小区,七星区,14路,0,0
青岭路,七星区,14路,0,0
五里店路,七星区,14路,0,0
和平村,七星区,14路,0,0
七星区武装部,七星区,14路,0,0
五里店,七星区,14路,0,0
,,,,
园林植物园,象山区,16路,0,0
公交铁西车场,象山区,16路,0,0
桂林站,象山区,16路,0,0
南门桥南,象山区,16路,0,0
西城路口,象山区,16路,8,1
文明路,象山区,16路,8,3
象山公园,象山区,16路,11,9
民主路,象山区,16路,0,0
安新小区,象山区,16路,0,0
穿山桥,七星区,16路,0,0
辅星路口,七星区,16路,0,0
漓江路,七星区,16路,0,0
三里店广场西口,七星区,16路,0,0
三里店广场北口,七星区,16路,0,0
朝阳路口,七星区,16路,0,0
大学生公寓城,七星区,16路,0,0
奇峰小筑,七星区,16路,0,0
朝阳路尾,七星区,16路,0,0
七星公安分局,七星区,16路,0,0
六合路口,七星区,16路,0,0
金鸡路口,七星区,16路,0,0
电子科大西区,七星区,16路,0,0
公交东环车场,七星区,16路,0,0
,,,,
七星公园,七星区,18路,2,0
解放桥,秀峰区,18路,7,4
十字街(解放东路),秀峰区,18路,7,3
乐群路口,秀峰区,18路,7,3
凤北路口,叠彩区,18路,7,3
东镇路,叠彩区,18路,6,3
观音阁,叠彩区,18路,5,1
北极广场,叠彩区,18路,1,0
商贸城,叠彩区,18路,0,0
群众路口,叠彩区,18路,0,0
新建路口,叠彩区,18路,0,0
芳华路口,叠彩区,18路,0,0
桂林北站路口,叠彩区,18路,0,0
叠彩商贸城,叠彩区,18路,0,0
定江镇,叠彩区,18路,0,0
八里一路口,灵川县,18路,0,0
八里四路西,灵川县,18路,0,0
八里一路,灵川县,18路,0,0
川东三路,灵川县,18路,0,0
八里三路,灵川县,18路,0,0
川东二路中,灵川县,18路,0,0
八里四路中,灵川县,18路,0,0
川东五路,灵川县,18路,0,0
川东五路南,灵川县,18路,0,0
中山中学,叠彩区,18路,0,0
春江路,叠彩区,18路,0,0
站前路东,叠彩区,18路,0,0
滨北路,叠彩区,18路,1,1
,,,,
桂林站,象山区,19路,0,0
桂青路,象山区,19路,0,0
南溪医院,象山区,19路,1,0
瓦窑口,象山区,19路,0,0
平山,象山区,19路,0,0
八中路口,象山区,19路,0,0
凯风路北,象山区,19路,0,0
相人山路口,象山区,19路,0,0
相人山路中,象山区,19路,0,0
相人山路西,象山区,19路,0,0
夕阳红疗养院,象山区,19路,0,0
西村,象山区,19路,0,0
交通疗养院,象山区,19路,0,0
党校,象山区,19路,0,0
桂林康复中心,象山区,19路,0,0
,,,,
绢坊厂,象山区,21路,0,0
化机路口,象山区,21路,0,0
化机分厂,象山区,21路,0,0
遇龙路,象山区,21路,0,0
猴山社区,象山区,21路,0,0
市政公司,象山区,21路,0,0
将军路口,象山区,21路,0,0
公交铁西车场,象山区,21路,0,0
象山区政府,象山区,21路,0,0
东安街口,象山区,21路,0,0
西门菜市,象山区,21路,1,1
少年宫,象山区,21路,4,2
信义丽君路口,秀峰区,21路,4,2
信义市场,秀峰区,21路,6,1
观漪桥,秀峰区,21路,5,0
艺术馆,秀峰区,21路,6,3
十字街(解放西路),秀峰区,21路,6,3
解放桥,秀峰区,21路,7,4
七星公园,七星区,21路,2,0
建干路口,七星区,21路,1,1
桂林理工大学,七星区,21路,0,0
彭家岭,七星区,21路,0,0
公交东环车场,七星区,21路,0,0
,,,,
广西师大,七星区,30路,0,0
育才路口,七星区,30路,0,0
三里店广场北口,七星区,30路,0,0
三里店广场西口,七星区,30路,0,0
漓江路,七星区,30路,0,0
辅星路,七星区,30路,0,0
望城岗,七星区,30路,0,0
龙隐路,七星区,30路,3,1
龙隐桥,七星区,30路,3,2
七星公园,七星区,30路,2,0
解放桥,秀峰区,30路,7,4
十字街(解放东路),秀峰区,30路,7,3
十字街(解放西路),秀峰区,30路,6,3
