节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
莲花宾馆,五华区,10路,0,1
小菜园,五华区,10路,0,0
江岸小区,五华区,10路,0,0
盘江东路口(白云路),盘龙区,10路,0,0
万华路口(白云路),盘龙区,10路,0,0
志强路口(白云路),盘龙区,10路,0,0
北京路口(白云路),盘龙区,10路,0,0
颐园小区(白云路),盘龙区,10路,0,0
王旗路(白云路),盘龙区,10路,0,0
小坝(穿金路),盘龙区,10路,1,1
小坝立交桥,盘龙区,10路,1,1
昆十一中,盘龙区,10路,1,1
北辰大道路口(穿金路),盘龙区,10路,0,0
波罗村,盘龙区,10路,0,0
省精神病医院,盘龙区,10路,0,0
煤机新村,盘龙区,10路,0,0
铂金大道路口(穿金路),盘龙区,10路,0,0
穿金路北段,盘龙区,10路,0,0
金殿车场,盘龙区,10路,0,0
,,,,
东寺街,西山区,148路,7,10
西寺塔,西山区,148路,4,8
东寺街南口,西山区,148路,3,6
西岳庙(西昌路)1,西山区,148路,1,3
工人新村(西昌路),西山区,148路,2,5
弥勒寺(西昌路),西山区,148路,0,2
新闻路口(西昌路),西山区,148路,0,1
篆塘(大观路),西山区,148路,0,0
环西桥(大观路),西山区,148路,0,1
920医院,西山区,148路,1,1
丹霞路口(西园路),西山区,148路,0,1
白马,西山区,148路,0,0
华夏中专(近华浦路),西山区,148路,0,0
春苑小区1,西山区,148路,0,0
秋苑小区(昆州路),西山区,148路,0,0
梁源小区,西山区,148路,0,0
西山区政府(丽苑路),西山区,148路,0,0
丽苑路西段,西山区,148路,0,0
梁源小区,西山区,148路,0,0
张家村(兴苑路),西山区,148路,0,0
下窑,西山区,148路,0,0
益宁路口(兴苑路),西山区,148路,0,0
马街,西山区,148路,0,0
,,,,
翠湖东门,五华区,Z5路,9,18
圆通街,五华区,Z5路,10,17
穿心鼓楼(穿金路),盘龙区,Z5路,0,0
席子营(穿金路),盘龙区,Z5路,0,0
席子营社区,盘龙区,Z5路,0,0
穿金路中段,盘龙区,Z5路,0,0
穿金路口(白云路),盘龙区,Z5路,0,0
白云路东段,盘龙区,Z5路,0,0
白龙路口(白云路),盘龙区,Z5路,0,0
昆明德韩口腔医院(石闸立交桥),盘龙区,Z5路,0,0
石闸立交桥(二环东路),盘龙区,Z5路,0,0
昙华寺(二环东路),盘龙区,Z5路,0,0
二环东路口(景泰街),盘龙区,Z5路,0,0
百丽园小区,盘龙区,Z5路,2,2
紫骏苑小区,盘龙区,Z5路,0,1
,,,,
小菜园立交桥,五华区,100路,0,2
鼓楼路1,五华区,100路,6,10
圆通山,五华区,100路,7,11
圆通街,五华区,100路,10,17
云南大学(青云街),五华区,100路,12,25
翠湖北路,五华区,100路,11,18
科技馆,五华区,100路,9,19
潘家湾地铁站(小西门),五华区,100路,0,4
潘家湾(人民西路),五华区,100路,0,0
环城西路口(人民西路),五华区,100路,0,0
赵家堆,五华区,100路,0,0
人民西路口(西园路),西山区,100路,0,0
丹霞路口(西园路),西山区,100路,0,1
昆五中,西山区,100路,0,1
大观楼(大观路),西山区,100路,2,2
明波路,西山区,100路,2,2
明波村,西山区,100路,2,3
明河路东口,西山区,100路,1,1
鸿运小区,西山区,100路,1,1
小河埂(碧鸡路),西山区,100路,0,0
西三环路口(碧鸡路),西山区,100路,0,0
苏家村(碧鸡路),西山区,100路,0,0
碧鸡路口(大渔路),西山区,100路,0,0
鲜花大道路口,西山区,100路,0,0
草海公交首末站,西山区,100路,0,0
,,,,
小菜园立交桥,五华区,101路,0,2
鼓楼路2,五华区,101路,6,10
圆通山,五华区,101路,7,11
圆通街,五华区,101路,10,17
云南大学(青云街),五华区,101路,12,25
府甬道,五华区,101路,9,17
建设路1,五华区,101路,3,15
西站,五华区,101路,0,0
虹山南路口(滇缅大道),五华区,101路,0,0
昆医附二院,五华区,101路,1,1
春晖小区,五华区,101路,0,0
西园路口(茭菱路),五华区,101路,0,0
茭菱路口(近华浦路),五华区,101路,0,0
人民西路口(近华浦路),西山区,101路,0,0
春苑小区1,西山区,101路,0,0
秋苑小区(昆州路),西山区,101路,0,0
梁源小区,西山区,101路,0,0
西山区政府(丽苑路),西山区,101路,0,0
丽苑路西段,西山区,101路,0,0
梁源三区,西山区,101路,0,1
张家村(兴苑路),西山区,101路,1,1
华苑路,五华区,101路,0,1
岷山车场,五华区,101路,1,1
,,,,
小屯路公交停车场,五华区,90路,0,0
研科路口(昆武辅道),五华区,90路,0,0
大塘路口(昆武辅道),五华区,90路,0,1
